policy,load_regime,goodput_mean,goodput_std,goodput_ci
SIT-safe,high,0.99988,0.0011944827293961483,6.758422268520449e-05
SIT-safe,low,0.9999699999999999,0.0003452525637519779,1.9534502740820148e-05
SIT-safe,medium,0.9999308333333332,0.0007324591359776021,4.144277697405531e-05
SIT-safe,saturation,0.9998487500000001,0.001533283264373307,8.675366753212939e-05
partition,high,0.99984,0.0015415512696406676,8.722147396867203e-05
partition,low,0.9999766666666666,0.00030473968801817937,1.7242271009187238e-05
partition,medium,0.9998612499999999,0.0011311600417418205,6.400140435042662e-05
partition,saturation,0.9997866666666666,0.0018359278530097702,0.00010387739713449195
random,high,0.99988,0.001194482729396166,6.758422268520449e-05
random,low,0.99996,0.0003981609097987124,2.2528074228401503e-05
random,medium,0.99994,0.0006905051275039419,3.90690054816403e-05
random,saturation,0.9997733333333334,0.002001322887485172,0.00011323550216684554
spread,high,0.99982,0.00145923763614166,8.256414171972564e-05
spread,low,0.9999766666666666,0.0003047396880181836,1.7242271009187238e-05
spread,medium,0.9999266666666667,0.0007627409129618249,4.315612979920316e-05
spread,saturation,0.9998666666666666,0.0014551013672179961,8.233011027402614e-05
