policy,mean_goodput,mean_cvar99,mean_p99
SIT-no-IRBS,0.999856875,69571.50774402595,69571.50774402595
SIT-no-admission,0.9998245833333335,60080.63384357935,60080.63384357935
SIT-no-safety,0.9998816666666667,56500.77161602175,56500.77161602175
SIT-safe,0.999864375,51845.79823961804,51845.79823961804
admission-only,0.9998527083333333,58424.611214219345,58424.611214219345
binpack-greedy,0.9998656249999999,70553.93126442247,70553.93126442247
k8s-default,0.99988,53795.16174804674,53795.16174804674
k8s-hpa,0.9998891666666666,58858.13505488023,58858.13505488023
oracle,0.9998933333333334,49072.034914038355,49072.034914038355
partition,0.9998133333333334,49825.14822043621,49825.14822043621
random,0.9998266666666666,59394.45345899218,59394.45345899218
round-robin,0.9998616666666668,60707.59613386264,60707.59613386264
similarity-avoidance,0.9998835416666666,54084.62749941421,54084.62749941421
slurm-fcfs,0.999831875,61064.56631420143,61064.56631420143
spread,0.9998433333333332,62197.02600113223,62197.02600113223
static-high,0.99987,87190.54245253267,87190.54245253267
static-low,0.9999135416666667,48526.4653677959,48526.4653677959
tail-greedy,0.9998616666666668,51910.21912272357,51910.21912272357
triton-proxy,0.9998487500000001,68047.02083218974,68047.02083218974
