policy,load_regime,success_rate,violation_rate,effective_goodput_rps
SIT-no-IRBS,high,0.99987,0.00013,6338.820738850493
SIT-no-IRBS,low,0.9999633333333332,3.6666666666666666e-05,6432.573972136974
SIT-no-IRBS,medium,0.9999533333333332,4.6666666666666665e-05,6347.28202104265
SIT-no-IRBS,saturation,0.9998933333333334,0.00010666666666666667,6352.015740322039
SIT-no-admission,high,0.9999154166666667,8.458333333333333e-05,8318.00505341072
SIT-no-admission,low,0.9999745833333332,2.5416666666666667e-05,8490.570362810426
SIT-no-admission,medium,0.9999533333333332,4.6666666666666665e-05,8362.949183026585
SIT-no-admission,saturation,0.9998533333333334,0.00014666666666666666,8346.881575046129
SIT-no-safety,high,0.99989,0.00011,8270.282559120256
SIT-no-safety,low,0.9999466666666667,5.333333333333333e-05,8360.983986286357
SIT-no-safety,medium,0.9999066666666666,9.333333333333333e-05,8259.934493782985
SIT-no-safety,saturation,0.99988,0.00012000000000000002,8277.562075757054
SIT-safe,high,0.9999100000000001,9e-05,8021.020877539578
SIT-safe,low,0.9999466666666667,5.333333333333333e-05,8533.980529799826
SIT-safe,medium,0.99996,4e-05,8376.914234872314
SIT-safe,saturation,0.9998133333333334,0.00018666666666666666,8023.680646527487
admission-only,high,0.99992,8e-05,5250.283837052499
admission-only,low,0.9999433333333333,5.666666666666667e-05,5348.039307298842
admission-only,medium,0.9999000000000001,9.999999999999999e-05,5313.103088624677
admission-only,saturation,0.99984,0.00016,5268.191527903646
binpack-greedy,high,0.99984,0.00016,4073.5185582834683
binpack-greedy,low,0.9999533333333332,4.6666666666666665e-05,4095.9907515395253
binpack-greedy,medium,0.9999095833333332,9.041666666666666e-05,4076.4642478173328
binpack-greedy,saturation,0.9998616666666668,0.00013833333333333335,4089.753305204874
k8s-default,high,0.99989,0.00011,7535.427908213884
k8s-default,low,0.99995,4.9999999999999996e-05,7663.22405399847
k8s-default,medium,0.9998966666666667,0.00010333333333333333,7525.730732301182
k8s-default,saturation,0.9998670833333333,0.00013291666666666668,7542.424889316255
k8s-hpa,high,0.9998349999999999,0.000165,7570.457588683886
k8s-hpa,low,0.9999633333333332,3.6666666666666666e-05,7722.103304263202
k8s-hpa,medium,0.9999133333333333,8.666666666666667e-05,7584.984533449051
k8s-hpa,saturation,0.9999066666666666,9.333333333333333e-05,7601.00387493751
oracle,high,0.99995,4.9999999999999996e-05,8333.882099692371
oracle,low,0.9999666666666667,3.3333333333333335e-05,8481.145315137408
oracle,medium,0.9998933333333334,0.00010666666666666667,8296.120594003343
oracle,saturation,0.9998666666666666,0.00013333333333333334,8319.6490734904
partition,high,0.99993,7.000000000000001e-05,5781.529470657694
partition,low,0.99995625,4.3750000000000006e-05,6424.009918862549
partition,medium,0.9999133333333333,8.666666666666667e-05,5852.719086725773
partition,saturation,0.9998545833333332,0.00014541666666666666,5747.717171509555
random,high,0.9998729166666668,0.00012708333333333332,5290.766642375872
random,low,0.9999766666666666,2.3333333333333332e-05,5300.740538998711
random,medium,0.9999866666666666,1.3333333333333333e-05,5305.211020226236
random,saturation,0.99990125,9.875e-05,5351.061902240643
round-robin,high,0.99984,0.00016,5452.951465925408
round-robin,low,0.9999733333333334,2.6666666666666667e-05,5535.678831534414
round-robin,medium,0.9999466666666667,5.333333333333333e-05,5473.805121845357
round-robin,saturation,0.9998533333333334,0.00014666666666666666,5476.543053878913
similarity-avoidance,high,0.9998908333333333,0.00010916666666666667,7054.386977908296
similarity-avoidance,low,0.99996,4e-05,7182.53114751246
similarity-avoidance,medium,0.99992,8e-05,7046.073663080311
similarity-avoidance,saturation,0.9998612499999999,0.00013875,7027.484568577614
slurm-fcfs,high,0.9998325,0.0001675,5249.265106170813
slurm-fcfs,low,0.99996,4e-05,5336.4664424999055
slurm-fcfs,medium,0.9999466666666667,5.333333333333333e-05,5266.820363360689
slurm-fcfs,saturation,0.9998904166666667,0.00010958333333333333,5253.645442231994
spread,high,0.99988,0.00012000000000000002,5281.94231455359
spread,low,0.9999533333333332,4.6666666666666665e-05,5519.828731484629
spread,medium,0.9998866666666667,0.00011333333333333334,5353.315614365827
spread,saturation,0.9998133333333334,0.00018666666666666666,5323.325406591083
static-high,high,0.9998600000000001,0.00014000000000000001,5957.512325646884
static-high,low,0.9999800000000001,2e-05,6008.786741298076
static-high,medium,0.9999333333333333,6.666666666666667e-05,5948.8953631569275
static-high,saturation,0.9999466666666667,5.333333333333333e-05,5982.729500539257
static-low,high,0.99983625,0.00016375,6512.938802756345
static-low,low,0.9999666666666667,3.3333333333333335e-05,6838.28082877326
static-low,medium,0.9999466666666667,5.333333333333333e-05,6566.064977562098
static-low,saturation,0.9998016666666666,0.00019833333333333332,6492.573768175766
tail-greedy,high,0.99982,0.00018,8234.627452282897
tail-greedy,low,0.9999766666666666,2.3333333333333332e-05,8512.161452439452
tail-greedy,medium,0.9999245833333333,7.541666666666667e-05,8331.201157758109
tail-greedy,saturation,0.99988,0.00012000000000000002,8297.935134067155
triton-proxy,high,0.9999100000000001,9e-05,4056.04722985831
triton-proxy,low,0.9999633333333332,3.6666666666666666e-05,4098.255253666484
triton-proxy,medium,0.9999045833333334,9.541666666666666e-05,4051.732337304672
triton-proxy,saturation,0.9998266666666666,0.00017333333333333334,4060.7138956831363
