policy,mean_throughput,mean_cvar99,mean_p99
SIT-no-IRBS,0.0001044811633060397,44816.37076684176,44816.37076684176
SIT-no-admission,0.00010940292773670063,39715.75426679265,39715.75426679265
SIT-no-safety,9.031101374808925e-05,38638.909861628075,38638.909861628075
SIT-safe,0.00014549129483992099,34665.282967877894,34665.282967877894
admission-only,8.64855831101016e-05,40052.25044721476,40052.25044721476
binpack-greedy,6.665072323441799e-05,47069.40736145791,47069.40736145791
k8s-default,0.0001235268650913463,36395.68476564078,36395.68476564078
k8s-hpa,0.00010830819906876379,39103.50569159832,39103.50569159832
oracle,0.0001367624843594105,33522.69475489362,33522.69475489362
partition,0.0003976086658567193,32810.51956720471,32810.51956720471
random,8.605119211419858e-05,40129.056313498426,40129.056313498426
round-robin,8.48938831522937e-05,41231.14850582215,41231.14850582215
similarity-avoidance,0.00011581942486924464,36311.16621866907,36311.16621866907
slurm-fcfs,8.610956969405887e-05,40980.61636115101,40980.61636115101
spread,0.00017660621643020855,39364.12296203438,39364.12296203438
static-high,5.566569592311229e-05,56202.954554634205,56202.954554634205
static-low,0.00021763970186956176,32363.711509389643,32363.711509389643
tail-greedy,0.00013690641208497032,34533.95495397388,34533.95495397388
triton-proxy,6.634456468175158e-05,45835.1968320904,45835.1968320904
