policy,load_regime,mean_cvar99,mean_goodput
SIT-no-IRBS,high,70409.15083860542,0.9999266666666667
SIT-no-IRBS,low,13765.848108687458,0.9999466666666667
SIT-no-IRBS,medium,26356.61947062771,0.9999191666666667
SIT-no-IRBS,saturation,68733.86464944646,0.9997870833333333
SIT-no-admission,high,61110.52341591762,0.9998174999999999
SIT-no-admission,low,13689.56440861394,0.9999733333333334
SIT-no-admission,medium,25012.184971397946,0.9998533333333334
SIT-no-admission,saturation,59050.74427124109,0.9998316666666667
SIT-no-safety,high,48544.94373742184,0.9999474999999999
SIT-no-safety,low,14632.717288253301,0.9999733333333334
SIT-no-safety,medium,26921.37892621547,0.9999133333333333
SIT-no-safety,saturation,64456.59949462169,0.9998158333333333
SIT-safe,high,47696.80122749821,0.99988
SIT-safe,low,12484.087221855896,0.9999699999999999
SIT-safe,medium,22485.448170419604,0.9999308333333332
SIT-safe,saturation,55994.79525173786,0.9998487500000001
admission-only,high,56252.71051662239,0.9998600000000001
admission-only,low,14902.868015413485,0.9999533333333332
admission-only,medium,28456.911345006865,0.99994
admission-only,saturation,60596.5119118163,0.9998454166666666
binpack-greedy,high,63398.15147035748,0.9999141666666667
binpack-greedy,low,16674.97543438059,0.9999666666666667
binpack-greedy,medium,30494.791482606084,0.9999266666666667
binpack-greedy,saturation,77709.71105848748,0.9998170833333334
k8s-default,high,48884.946984342656,0.99992
k8s-default,low,13142.116133434114,0.9999533333333332
k8s-default,medium,24850.299433035507,0.9999133333333333
k8s-default,saturation,58705.376511750816,0.99984
k8s-hpa,high,59601.38917399322,0.9999116666666666
k8s-hpa,low,13210.324802270798,0.9999633333333332
k8s-hpa,medium,25487.427854362046,0.9999133333333333
k8s-hpa,saturation,58114.88093576723,0.9998666666666666
oracle,high,47305.28090586413,0.99988
oracle,low,13045.874381926877,0.9999733333333334
oracle,medium,22900.834809570908,0.9999466666666667
oracle,saturation,50838.788922212574,0.9999066666666666
partition,high,46953.54859301252,0.99984
partition,low,10685.290470005652,0.9999766666666666
partition,medium,20906.491357940777,0.9998612499999999
partition,saturation,52696.74784785989,0.9997866666666666
random,high,53016.86666155209,0.99988
random,low,14580.658401083132,0.99996
random,medium,27146.6599349262,0.99994
random,saturation,65772.04025643227,0.9997733333333334
round-robin,high,56648.1451111515,0.9998866666666667
round-robin,low,14996.68912190524,0.9999633333333332
round-robin,medium,28512.712633658095,0.9998824999999999
round-robin,saturation,64767.04715657378,0.9998366666666667
similarity-avoidance,high,52619.13797202633,0.99989
similarity-avoidance,low,12796.589783081283,0.9999666666666667
similarity-avoidance,medium,24278.820092766568,0.9999066666666666
similarity-avoidance,saturation,55550.11702680209,0.9998770833333332
slurm-fcfs,high,60104.38534879955,0.9998533333333334
slurm-fcfs,low,14696.533163292685,0.9999533333333332
slurm-fcfs,medium,27096.799652908503,0.9999658333333333
slurm-fcfs,saturation,62024.74727960332,0.9998104166666667
spread,high,69578.25622082186,0.99982
spread,low,11869.067292074107,0.9999766666666666
spread,medium,21193.372553798967,0.9999266666666667
spread,saturation,54815.79578144259,0.9998666666666666
static-high,high,99856.30650879045,0.9999000000000001
static-high,low,17636.054234790085,0.9999733333333334
static-high,medium,32794.6790786814,0.9999000000000001
static-high,saturation,74524.77839627488,0.99984
static-low,high,47005.5127367738,0.99992
static-low,low,11532.852534863358,0.9999533333333332
static-low,medium,20869.062767103405,0.9999466666666667
static-low,saturation,50047.417998818,0.9999070833333333
tail-greedy,high,44960.36918348763,0.9999100000000001
tail-greedy,low,12021.740059643414,0.9999666666666667
tail-greedy,medium,22293.641510805002,0.9999316666666666
tail-greedy,saturation,58860.0690619595,0.9998133333333334
triton-proxy,high,62561.61194932811,0.9998600000000001
triton-proxy,low,16470.240016208114,0.9999566666666667
triton-proxy,medium,30776.50564777401,0.99992
triton-proxy,saturation,73532.42971505136,0.9998375
