policy,load_regime,p99_mean,p99_std,p99_median
SIT-no-IRBS,high,70409.15083860542,872736.8639982928,24126.830447058608
SIT-no-IRBS,low,13765.848108687458,15107.237428922046,7407.345161221474
SIT-no-IRBS,medium,26356.61947062771,31723.241742267943,14817.862354076135
SIT-no-IRBS,saturation,68733.86464944646,247212.72338279986,29443.619285324614
SIT-no-admission,high,61110.52341591762,231030.80612878327,22589.887781988233
SIT-no-admission,low,13689.56440861394,17505.523564706713,7342.093589899537
SIT-no-admission,medium,25012.184971397946,30937.565977493294,14342.09284049324
SIT-no-admission,saturation,59050.74427124109,136210.14917694262,27998.61431221736
SIT-no-safety,high,48544.94373742184,77578.9770476695,25136.24563538853
SIT-no-safety,low,14632.717288253301,17859.725024304476,8285.92095526473
SIT-no-safety,medium,26921.37892621547,27837.025904912167,15757.558633474597
SIT-no-safety,saturation,64456.59949462169,150877.0148865928,31595.415197954797
SIT-safe,high,47696.80122749821,106039.59366335059,19650.46302574643
SIT-safe,low,12484.087221855896,15607.60190445779,6448.9358383036415
SIT-safe,medium,22485.448170419604,25833.8801644938,12483.954234397535
SIT-safe,saturation,55994.79525173786,152523.85393157994,24526.592226220557
admission-only,high,56252.71051662239,118041.6205406677,27161.189487451324
admission-only,low,14902.868015413485,15197.835561278089,8909.555767263988
admission-only,medium,28456.911345006865,42358.71325949489,17053.294223909026
admission-only,saturation,60596.5119118163,113544.8605230186,33242.19829190748
binpack-greedy,high,63398.15147035748,261100.8394041966,33826.709014700275
binpack-greedy,low,16674.97543438059,15962.181119684523,11066.46540525054
binpack-greedy,medium,30494.791482606084,28165.609160331787,21675.95163340779
binpack-greedy,saturation,77709.71105848748,240113.3768328981,43251.8121647182
k8s-default,high,48884.946984342656,119413.1446928202,21958.564175204825
k8s-default,low,13142.116133434114,16506.43505317897,6844.817891175293
k8s-default,medium,24850.299433035507,30117.456117027872,13665.697681999569
k8s-default,saturation,58705.376511750816,157994.03938840266,26606.80307425749
k8s-hpa,high,59601.38917399322,307047.02311945724,23407.03726780317
k8s-hpa,low,13210.324802270798,14114.199967827142,7514.868918149159
k8s-hpa,medium,25487.427854362046,29824.745643261416,14550.56864253229
k8s-hpa,saturation,58114.88093576723,106533.52392480534,29538.234149246713
oracle,high,47305.28090586413,107066.51690696024,19614.66079975002
oracle,low,13045.874381926877,17364.460343015027,6629.398244108518
oracle,medium,22900.834809570908,27319.15615932925,12531.134850364715
oracle,saturation,50838.788922212574,102855.79075059677,25295.126612997912
partition,high,46953.54859301252,290210.28942965326,15056.225559739141
partition,low,10685.290470005652,16492.29020676961,4596.842177609446
partition,medium,20906.491357940777,38615.72857329936,8471.568030097844
partition,saturation,52696.74784785989,159217.28278174408,17264.032452341067
random,high,53016.86666155209,86478.57317529147,27501.436508450293
random,low,14580.658401083132,14393.9183763798,8742.373294137025
random,medium,27146.6599349262,25373.70957764409,17629.856337104684
random,saturation,65772.04025643227,124920.0982320026,34882.93262243786
round-robin,high,56648.1451111515,122329.4389459701,27851.67216842521
round-robin,low,14996.68912190524,16171.138632114778,9264.534964937218
round-robin,medium,28512.712633658095,32033.928998563108,18170.75375093046
round-robin,saturation,64767.04715657378,119282.56583811746,35581.09441072628
similarity-avoidance,high,52619.13797202633,137524.8632011703,22458.03115548026
similarity-avoidance,low,12796.589783081283,13660.836390587294,6885.6988990713135
similarity-avoidance,medium,24278.820092766568,27849.738788169663,13594.702962448258
similarity-avoidance,saturation,55550.11702680209,118476.37829674056,28222.443148509454
slurm-fcfs,high,60104.38534879955,176833.55191406046,25931.761924845487
slurm-fcfs,low,14696.533163292685,14458.88050070079,8545.174073424094
slurm-fcfs,medium,27096.799652908503,28222.478976731076,16519.491335871848
slurm-fcfs,saturation,62024.74727960332,108159.82253931949,33043.11944893333
spread,high,69578.25622082186,418368.88470363506,19176.91001291513
spread,low,11869.067292074107,14350.457404229188,6179.826603558187
spread,medium,21193.372553798967,25525.15899683345,11228.769572245383
spread,saturation,54815.79578144259,193347.47805035,21732.598526565118
static-high,high,99856.30650879045,1309518.7757975438,36208.80214217436
static-high,low,17636.054234790085,15379.868032600076,11701.233846509298
static-high,medium,32794.6790786814,25665.743289426202,22487.974028495482
static-high,saturation,74524.77839627488,127489.01838674846,45066.01551469925
static-low,high,47005.5127367738,164713.0092407352,17393.156677789673
static-low,low,11532.852534863358,16626.91462715281,5462.358929728525
static-low,medium,20869.062767103405,28515.8599983856,10328.426133056186
static-low,saturation,50047.417998818,181068.37858625018,20574.259355658163
tail-greedy,high,44960.36918348763,94565.0627994072,19805.939152279538
tail-greedy,low,12021.740059643414,12891.145339753788,6665.347609590504
tail-greedy,medium,22293.641510805002,26811.721422048122,12218.598981118816
tail-greedy,saturation,58860.0690619595,161529.06256349167,24202.190050094105
triton-proxy,high,62561.61194932811,154160.53207952628,31019.21275520532
triton-proxy,low,16470.240016208114,15018.072213665202,10230.240400119252
triton-proxy,medium,30776.50564777401,26892.784274002388,19716.061623907794
triton-proxy,saturation,73532.42971505136,161092.34115221884,39948.029417395934
