policy,load_regime,cvar99_mean,cvar99_std,cvar99_median
SIT-no-IRBS,high,54923.22571598264,136463.5105724872,24694.56110301091
SIT-no-IRBS,low,30759.773395078282,168785.76206379937,10278.35511216581
SIT-no-IRBS,medium,42325.49313177623,118476.62126794037,17364.445179670907
SIT-no-IRBS,saturation,56769.425760567894,118451.04739404682,28686.128726772313
SIT-no-admission,high,48211.73592801792,109639.86954592018,23296.336485611606
SIT-no-admission,low,22700.563354938153,42119.76722891177,9685.429106211042
SIT-no-admission,medium,41669.603198399025,122652.00355075314,16349.125538040404
SIT-no-admission,saturation,57035.021094445874,110978.92046299251,27670.315593348416
SIT-no-safety,high,59025.95264905261,220101.77888680308,25481.35496036923
SIT-no-safety,low,27734.00481961527,90745.93678664816,10725.529327188833
SIT-no-safety,medium,40611.02834716337,79733.05261740161,19023.817126812108
SIT-no-safety,saturation,59234.59325112083,110831.54504850428,32085.646853029022
SIT-safe,high,45864.84060139184,88112.16151346642,19894.153654962287
SIT-safe,low,23369.11130955395,61309.16359330482,8605.680947703779
SIT-safe,medium,41525.62549432359,148772.32384286748,15101.779512923235
SIT-safe,saturation,54631.78620173817,122953.89152344754,24735.238826511857
admission-only,high,55369.63422899262,159857.2965771429,27449.553115538445
admission-only,low,32444.074937500147,168705.21455397116,11185.157746787485
admission-only,medium,42834.275805739155,102030.39504113577,19911.033126893002
admission-only,saturation,62889.75336304996,119023.43848476927,33688.25603206991
binpack-greedy,high,61961.325662978095,185284.53070927446,33851.95088811799
binpack-greedy,low,26952.118431166175,58142.55567226435,12753.456328021039
binpack-greedy,medium,149767.50417805763,3586623.8446176285,23413.408930004643
binpack-greedy,saturation,98644.81820209938,769811.0207623034,43317.25035383104
k8s-default,high,47702.9170066759,101484.69312318928,22123.30693048551
k8s-default,low,23642.883488589294,50145.044248637554,9597.891666886058
k8s-default,medium,35907.4962832101,69101.44637772713,16718.364616872233
k8s-default,saturation,55813.814045340725,97529.2853722844,28024.09495943984
k8s-hpa,high,50031.80375254898,102131.01184500751,24162.68950236451
k8s-hpa,low,25149.36785773494,55347.5765662946,10239.288948793386
k8s-hpa,medium,46930.47732480266,170911.00792184297,18082.85267363985
k8s-hpa,saturation,101472.74582704034,1329680.704508319,29365.372205989486
oracle,high,63260.019338113576,521213.7942016727,20320.472248165315
oracle,low,23764.504591789002,57750.3593440052,8863.83505374056
oracle,medium,34061.72144675329,61244.12103874416,15030.167583312426
oracle,saturation,56183.647549519934,124696.00365158588,25618.83092572035
partition,high,47969.971645168145,186633.64903572883,15209.709895307577
partition,low,21631.281044919928,53794.04982969549,7077.736711645176
partition,medium,30776.883613848873,64385.40926872194,11551.84223373398
partition,saturation,44873.23904576078,92872.24210797623,17091.361655680335
random,high,56987.67358815767,135149.7763163521,27358.263676364244
random,low,25203.889095817205,60648.60693031501,11412.483730783926
random,medium,47442.46986328123,157047.1829673751,19859.227476013482
random,saturation,66514.85185953641,165777.90134521257,33812.90586000231
round-robin,high,100363.77994695675,1576656.462474221,28264.096691515842
round-robin,low,30467.986579595643,165585.80828336434,11582.21642333392
round-robin,medium,41027.430801982024,70079.33213716754,20147.583208714976
round-robin,saturation,61914.151960912815,103940.80088125051,35108.63682960173
similarity-avoidance,high,48823.211251192886,89471.61895553424,24328.429943372706
similarity-avoidance,low,23284.041394726468,48344.353023318086,9787.929579320902
similarity-avoidance,medium,40284.98956769291,85302.5740469845,17224.203313556325
similarity-avoidance,saturation,59710.58164276004,131975.55944726025,28122.535044367345
slurm-fcfs,high,59078.13731490111,161150.94104379177,26686.760649533775
slurm-fcfs,low,27588.357544496506,67582.84783904225,11358.103314715732
slurm-fcfs,medium,39507.96621842562,69886.10051754558,19320.66359303461
slurm-fcfs,saturation,71272.65939400319,214155.22516127312,33177.0373510396
spread,high,43995.78804864474,91821.76589923433,19486.24089162224
spread,low,23799.7158946123,86357.9318828792,8290.111768793051
spread,medium,35374.55738760173,88696.99738924533,13716.913498104408
spread,saturation,49547.290010147946,114867.61548528518,22052.60830436951
static-high,high,73303.01089058297,211004.2759871493,37007.23896991525
static-high,low,34521.660991293174,156675.370131162,14464.054544234918
static-high,medium,49660.260330424426,117229.42565807805,25835.049818223477
static-high,saturation,78558.19113254243,182312.66972327704,46322.73657286065
static-low,high,49392.40171387082,177230.89899345074,17783.90739968868
static-low,low,22888.112088824248,48655.30015608614,8201.344876636289
static-low,medium,36109.41334414959,100466.14728827272,13227.04701463824
static-low,saturation,51510.538167241444,129434.83286685435,21751.496902121577
tail-greedy,high,51983.78442852267,128440.25570659287,20688.103239051023
tail-greedy,low,25499.372848066494,82514.1386662582,8983.906665217291
tail-greedy,medium,39103.667397422825,156853.47469214888,15652.957184984256
tail-greedy,saturation,58576.75816123664,130343.94618716324,25495.237441236044
triton-proxy,high,57865.50558118404,84158.22388198636,31909.855691985984
triton-proxy,low,27585.3514507045,53451.13936649102,12580.610631937725
triton-proxy,medium,45214.39761333381,99746.45018492932,22572.727542916233
triton-proxy,saturation,98070.35768287591,847910.3102575361,40176.996007741356
