interference_regime,load_regime,tail_ratio_sit_over_partition,sit_cvar99_mean,partition_cvar99_mean
adversarial,high,1.2195,22484.42,18437.13
adversarial,low,1.0641,10797.28,10146.44
adversarial,medium,1.2644,17413.05,13772.2
adversarial,saturation,1.5189,25145.69,16555.61
drifting,high,1.1139,54838.35,49229.63
drifting,low,1.1135,18409.16,16533.39
drifting,medium,1.1134,36652.55,32920.03
drifting,saturation,1.1139,72947.31,65486.43
heavy_tail_burst,high,0.7964,151734.57,190514.79
heavy_tail_burst,low,1.0301,94008.47,91261.58
heavy_tail_burst,medium,1.4018,162941.09,116237.72
heavy_tail_burst,saturation,1.1452,171850.16,150065.0
iid_noise,high,2.6461,8950.83,3382.65
iid_noise,low,2.5477,3056.9,1199.85
iid_noise,medium,2.6047,6029.21,2314.71
iid_noise,saturation,2.6767,11824.55,4417.58
partial_obs,high,1.2424,28413.31,22869.35
partial_obs,low,1.1583,10941.24,9445.78
partial_obs,medium,1.1822,20207.81,17093.61
partial_obs,saturation,1.2168,34432.79,28298.86
structured,high,2.5891,8767.57,3386.29
structured,low,2.5,3001.63,1200.64
structured,medium,2.5441,5910.04,2323.03
structured,saturation,2.6246,11590.22,4415.95
