policy,p99_latency_us,cvar99_us,p999_latency_us,load_regime,log_p99,log_cvar99,cvar99_exceeds_p99
SIT-safe,2549.13873903793,2593.6190185765536,2646.4409421572586,low,3.406393472958044,3.413906182125263,True
SIT-safe,2774.9081378515316,2801.972624232407,2823.3770285365185,low,3.4432486105633706,3.447463887836664,True
SIT-safe,3539.395878427474,3610.2153356980343,3709.1924491163513,low,3.5489291408237844,3.5575331067024245,True
SIT-safe,3144.344571795899,3175.3131848404937,3205.0261389045154,low,3.49753013196974,3.5017865667115187,True
SIT-safe,2795.619258188228,2829.359373659449,2889.6223530294205,low,3.446478023537397,3.4516881132699564,True
SIT-safe,2612.027739225334,2702.7460522711667,2794.776503151565,low,3.4169777847502516,3.431805241674142,True
SIT-safe,2898.32014019847,2928.0639386718085,2958.947540446821,low,3.462146354717846,3.4665805559618885,True
SIT-safe,3571.223560658025,3658.3039524951682,3715.145858655289,low,3.552817038129244,3.563279786270908,True
SIT-safe,3167.014654674811,3200.6472508949014,3238.3718084885463,low,3.500650072980273,3.505237812403555,True
SIT-safe,2914.1080589556786,2945.166730320057,2973.185191042638,low,3.4645056519425705,3.4691098858831566,True
SIT-safe,2471.6006553431016,2520.6605255857917,2620.176581579655,low,3.3929783016954196,3.4015143602372486,True
SIT-safe,2985.076600878418,3011.059739762926,3038.046966376396,low,3.474955480159512,3.478719372049463,True
SIT-safe,3470.076398543737,3549.148825114012,3605.305735820939,low,3.54033903649137,3.5501242108355133,True
SIT-safe,3104.887945451735,3182.3229875037705,3274.853730787041,low,3.492045931227536,3.5027442559428645,True
SIT-safe,3022.8965729061347,3065.4332108822055,3105.5203464240008,low,3.4804232882348605,3.486491858234808,True
SIT-safe,2595.643159934182,2681.861358168556,2826.7745335633626,low,3.41424498692508,3.428436322755447,True
SIT-safe,2777.8805470826164,2806.7880579874063,2856.313454394613,low,3.4437135665066148,3.448209620072395,True
SIT-safe,3576.000721129395,3670.0833728392995,3769.1358329467907,low,3.5533975977028747,3.564675930179276,True
SIT-safe,3117.5411845091376,3147.6198287273846,3177.284668473065,low,3.4938121994679543,3.497982272525563,True
SIT-safe,2817.768607957811,2866.3876015618616,2923.0310315931038,low,3.449905326454983,3.457334916639734,True
SIT-safe,2659.440516170018,2723.4312306045254,2801.678650619142,low,3.4247902808803135,3.4351164133723047,True
SIT-safe,2913.799443180807,2951.119769558987,2987.835589130118,low,3.46445965597296,3.469986835458295,True
SIT-safe,3520.732566298048,3643.6253718578714,3773.321507770071,low,3.546633037455277,3.5615337175603603,True
SIT-safe,3192.106219143353,3245.39004003026,3284.462940190471,low,3.504077334314129,3.5112668989956917,True
SIT-safe,2903.071666808408,2925.737413973905,2947.0402834132806,low,3.462857757194142,3.466235345446313,True
SIT-safe,2516.6336613907956,2560.041452697751,2592.291232215634,low,3.4008200012393885,3.4082469975509673,True
SIT-safe,2971.7306137899964,3018.2643921275067,3083.374488213879,low,3.4730094382490266,3.479757280175404,True
SIT-safe,3499.3446510201115,3656.9040260064794,3833.931403347438,low,3.5439867183231377,3.5631135626014467,True
SIT-safe,3046.905354298404,3081.535538274721,3115.1053188810747,low,3.4838589639882334,3.4887671806623812,True
SIT-safe,3007.515470335502,3021.313429305644,3033.2842901855847,low,3.478207869981645,3.4801957810684234,True
SIT-safe,2533.5493496548065,2658.9707023202454,2896.6919331976333,low,3.4037293680993685,3.424713552115039,True
SIT-safe,2815.909032266348,2875.990064663939,2974.0851304758726,low,3.449618620845472,3.458787381408661,True
SIT-safe,3568.4598698821824,3655.293319714666,3688.784028106785,low,3.5524808171398234,3.5629222327363617,True
SIT-safe,3097.2198548128817,3147.9082137761893,3228.3066428810416,low,3.490972034657113,3.498022060779893,True
SIT-safe,2789.7829397586315,2808.021254572614,2834.3154322393852,low,3.4455704141222516,3.448400390747179,True
SIT-safe,2645.941735940171,2716.4504881507282,2797.9922208539156,low,3.4225802767228837,3.434001793699249,True
SIT-safe,2886.950612887211,2918.736251709756,2954.1208974249844,low,3.4604393544612466,3.4651948522328766,True
SIT-safe,3437.9427239152337,3518.6448725417854,3620.4633485589134,low,3.536298637070416,3.546375436861273,True
SIT-safe,3173.2799580773362,3217.8700756085605,3250.760729618491,low,3.5015083887990244,3.507568505087633,True
SIT-safe,2909.2404159343378,2933.560296366378,2978.175735297457,low,3.463779612274669,3.4673950191281397,True
SIT-safe,2511.1063400859857,2575.1067360911875,2687.7091282779943,low,3.3998651045626476,3.4107952349052577,True
SIT-safe,2951.1545711262634,2971.716841229807,2998.962829647354,low,3.4699919569175015,3.473007425495675,True
SIT-safe,3540.0273880241143,3622.3157268566333,3699.8025723680366,low,3.5490066220319267,3.558986301432407,True
SIT-safe,3045.3052340478375,3094.137641048416,3165.160909310662,low,3.4836308289291757,3.490539629149458,True
SIT-safe,3001.6495418978066,3021.688844147911,3048.605387392465,low,3.4773599847411085,3.480249741198588,True
SIT-safe,2568.6200832999743,2622.4109304132667,2691.0365394244454,low,3.4096998738545876,3.4187007464034656,True
SIT-safe,2802.1871903109895,2828.4827837971093,2846.2207388461006,low,3.4474971434421646,3.4515535396524686,True
SIT-safe,3639.025264459766,3758.599681376922,3844.6480555492753,low,3.560985070749021,3.5750260726073586,True
SIT-safe,3133.3146253390037,3173.32673769954,3209.4550330472816,low,3.496004005857815,3.5015147910018904,True
SIT-safe,2804.9002823812402,2826.096385827857,2856.316506964389,low,3.4479174261692314,3.4511869696566784,True
SIT-safe,2605.0513399944903,2667.5255378490315,2707.5829178422964,low,3.4158162867359643,3.426108585882383,True
SIT-safe,2874.62672556862,2920.375614214645,3014.388901278697,low,3.458581458921126,3.4654387133284565,True
SIT-safe,3406.8680859161104,3504.6351818495255,3592.524060718485,low,3.5323553179917604,3.5446428163809194,True
SIT-safe,3209.9426793199887,3281.9218871278003,3380.1865862337763,low,3.5064972771783003,3.516128240217053,True
SIT-safe,2922.550524525518,2942.5124167896033,2965.531397440839,low,3.465762027903326,3.4687183041516083,True
SIT-safe,2540.20274166189,2603.348120925838,2669.8322379940514,low,3.4048683804274806,3.4155322460532536,True
SIT-safe,2965.333171184242,2996.660592201517,3030.6697006934987,low,3.4720734957704136,3.4766375566656125,True
SIT-safe,3513.556131260759,3610.7653973805245,3721.7674839776623,low,3.545746896055132,3.557599271884885,True
SIT-safe,3110.7633572457707,3162.8353524730455,3230.2228880936086,low,3.492866974608762,3.5000765844628106,True
SIT-safe,2994.0418694405366,3007.338547849342,3014.302909097159,low,3.4762578693336343,3.4781823210791267,True
SIT-safe,2550.965660127965,2696.3986645285354,2921.927952482442,low,3.406704612385833,3.4307841033695756,True
SIT-safe,2797.203013512898,2823.6043302672488,2855.2034317315465,low,3.4467239874472657,3.4508038392562743,True
SIT-safe,3534.9430388603587,3636.181848482765,3778.7510166881643,low,3.548382420082582,3.5606455945218087,True
SIT-safe,3132.01408872322,3174.2639932101374,3201.961534995556,low,3.495823706974983,3.501643042780116,True
