policy,p999_latency_us,cvar999_us,load_regime
SIT-safe,2646.4409421572586,2674.043625924839,low
SIT-safe,2823.3770285365185,2853.2624589568004,low
SIT-safe,3709.1924491163513,3753.333154451265,low
SIT-safe,3205.0261389045154,3211.687565997046,low
SIT-safe,2889.6223530294205,2899.4224263382325,low
SIT-safe,2794.776503151565,2825.202453510866,low
SIT-safe,2958.947540446821,2963.9483932092053,low
SIT-safe,3715.145858655289,3808.424048733067,low
SIT-safe,3238.3718084885463,3254.734091897357,low
SIT-safe,2973.185191042638,2975.7797939529523,low
SIT-safe,2620.176581579655,2686.5439766706036,low
SIT-safe,3038.046966376396,3043.3277819851783,low
SIT-safe,3605.305735820939,3649.490410313734,low
SIT-safe,3274.853730787041,3307.045680944061,low
SIT-safe,3105.5203464240008,3126.623033825216,low
SIT-safe,2826.7745335633626,2836.7124379798397,low
SIT-safe,2856.313454394613,2890.0468445754223,low
SIT-safe,3769.1358329467907,3897.5847168957093,low
SIT-safe,3177.284668473065,3185.8602892866775,low
SIT-safe,2923.0310315931038,2938.5353969140033,low
SIT-safe,2801.678650619142,2810.4787032279764,low
SIT-safe,2987.835589130118,3043.2084702983675,low
SIT-safe,3773.321507770071,3803.7485684285157,low
SIT-safe,3284.462940190471,3317.723768402165,low
SIT-safe,2947.0402834132806,2963.6959428029586,low
SIT-safe,2592.291232215634,2647.0199293920496,low
SIT-safe,3083.374488213879,3157.0167864455334,low
SIT-safe,3833.931403347438,3874.6102314974514,low
SIT-safe,3115.1053188810747,3166.849970118278,low
SIT-safe,3033.2842901855847,3051.313039551849,low
SIT-safe,2896.6919331976333,2918.947576905014,low
SIT-safe,2974.0851304758726,2995.918796569315,low
SIT-safe,3688.784028106785,3738.495486907063,low
SIT-safe,3228.3066428810416,3272.74050370897,low
SIT-safe,2834.3154322393852,2850.900701118767,low
SIT-safe,2797.9922208539156,2840.1223693440643,low
SIT-safe,2954.1208974249844,2988.9183238067776,low
SIT-safe,3620.4633485589134,3671.9824109428555,low
SIT-safe,3250.760729618491,3296.205539897334,low
SIT-safe,2978.175735297457,2980.177776476544,low
SIT-safe,2687.7091282779943,2729.414702070661,low
SIT-safe,2998.962829647354,3005.9726461904006,low
SIT-safe,3699.8025723680366,3774.7446168370934,low
SIT-safe,3165.160909310662,3181.2493125297715,low
SIT-safe,3048.605387392465,3053.165402604117,low
SIT-safe,2691.0365394244454,2739.622664993796,low
SIT-safe,2846.2207388461006,2883.0569010895597,low
SIT-safe,3844.6480555492753,3894.7564698004535,low
SIT-safe,3209.4550330472816,3225.029961769371,low
SIT-safe,2856.316506964389,2860.2635182591575,low
SIT-safe,2707.5829178422964,2722.4038757631733,low
SIT-safe,3014.388901278697,3048.4781289299963,low
SIT-safe,3592.524060718485,3666.3677909197577,low
SIT-safe,3380.1865862337763,3406.6669565155353,low
SIT-safe,2965.531397440839,2971.027934520798,low
SIT-safe,2669.8322379940514,2683.0747781022765,low
SIT-safe,3030.6697006934987,3045.5062033384265,low
SIT-safe,3721.7674839776623,3768.9015266300917,low
SIT-safe,3230.2228880936086,3250.3070465894843,low
SIT-safe,3014.302909097159,3028.3804759496793,low
SIT-safe,2921.927952482442,2955.254389136783,low
SIT-safe,2855.2034317315465,2871.1296380922267,low
SIT-safe,3778.7510166881643,3860.9146942569078,low
SIT-safe,3201.961534995556,3238.856566563598,low
SIT-safe,2848.762163487831,2896.1875939538586,low
SIT-safe,2876.5348838517493,2929.926530907525,low
SIT-safe,2955.805171295982,2968.4726351785935,low
SIT-safe,3597.1095361666135,3631.4582608143373,low
SIT-safe,3272.1219567992675,3279.0054285967535,low
SIT-safe,3015.2291507930818,3022.300482391466,low
SIT-safe,2548.406890289384,2582.3624362035634,low
SIT-safe,2993.2379264393744,3003.5445210689795,low
SIT-safe,3761.2423962667153,3801.81238119972,low
SIT-safe,3132.372089316852,3212.206711237939,low
SIT-safe,3069.182127911917,3097.5016449238437,low
SIT-safe,2592.6938393104306,2656.6083955084264,low
SIT-safe,2878.9670837570725,2897.923537791309,low
SIT-safe,3911.818957508138,3987.298761271144,low
SIT-safe,3236.680701125266,3258.243770816352,low
SIT-safe,2886.3377879923187,2896.0829365275413,low
SIT-safe,2830.921053784677,2862.469411578899,low
SIT-safe,2925.195922454324,2955.4076179451413,low
SIT-safe,3529.9671697020813,3572.627787771692,low
SIT-safe,3333.2251684674147,3347.975382417641,low
SIT-safe,2947.3801812675006,2950.149335709027,low
SIT-safe,2558.8667212323303,2581.2058951767785,low
SIT-safe,3022.560149203043,3037.3109934425793,low
SIT-safe,3781.316775470903,3899.0654387389573,low
SIT-safe,3148.394350211935,3241.7948742196577,low
SIT-safe,3050.0680771049183,3056.933420399437,low
SIT-safe,2620.92257236312,2690.3454830127416,low
SIT-safe,2877.368940898798,2890.5251994195223,low
SIT-safe,3713.6278720201435,3783.1602904852275,low
SIT-safe,3208.6539526630563,3214.31715115993,low
SIT-safe,2903.4647721942993,2925.964828209883,low
SIT-safe,2713.0832532054615,2729.92516550199,low
SIT-safe,2931.5815579913365,2946.7351572440384,low
SIT-safe,3699.8163131322517,3738.9734371540585,low
SIT-safe,3272.510213005095,3278.810355876074,low
SIT-safe,2948.398194396587,2979.391199444176,low
SIT-safe,2754.975137603924,2838.694992014598,low
SIT-safe,3069.8457438832525,3101.4865491860246,low
SIT-safe,3756.2587784477005,3879.470953938473,low
SIT-safe,3151.7470612743914,3170.576370607176,low
SIT-safe,3073.847619923046,3088.613697706448,low
SIT-safe,2598.1214176941917,2633.266140823805,low
SIT-safe,2838.871578069163,2863.9039781117085,low
SIT-safe,3685.8515947194646,4007.315315361207,low
SIT-safe,3232.926767215085,3255.713328207357,low
SIT-safe,2830.8395880465823,2843.890423064596,low
SIT-safe,2809.685896291719,2833.99442922471,low
SIT-safe,2949.33234735556,2983.9589933277607,low
SIT-safe,3925.029234964523,3983.0169617795764,low
SIT-safe,3287.238804769188,3361.0468301150677,low
SIT-safe,3003.466748199591,3021.558420764954,low
SIT-safe,2639.1543373058003,2651.2599606888843,low
SIT-safe,3051.1076332327443,3095.8211572669243,low
SIT-safe,3710.198268374702,3734.7396785354576,low
SIT-safe,3179.1403071906548,3212.802035434325,low
SIT-safe,3059.199886359467,3077.218694610242,low
SIT-safe,2660.430110566321,2671.365338882181,low
SIT-safe,2956.6817641394523,2961.6795493185355,low
SIT-safe,3706.6303543193812,3770.7366589776166,low
SIT-safe,3179.0025774222813,3213.4604328193973,low
SIT-safe,2852.12268281909,2866.1360948222355,low
SIT-safe,2662.477063455818,2673.3860545703465,low
SIT-safe,2928.0049838144,2935.329594744039,low
SIT-safe,3590.882086742302,3640.0207524441803,low
SIT-safe,3324.3159163704454,3368.2141957091053,low
SIT-safe,2958.289590168984,3004.5112726837633,low
SIT-safe,2614.956042658338,2640.705078339407,low
SIT-safe,3025.080857565291,3025.532358889549,low
SIT-safe,3688.160547841113,3782.712931747477,low
SIT-safe,3175.748342707257,3197.270674647824,low
SIT-safe,3057.279822449828,3073.1064735628843,low
SIT-safe,2619.0866115596564,2680.0424459667092,low
SIT-safe,2868.5350276227664,2884.4306022225137,low
SIT-safe,3914.9906814625724,3966.9043616717213,low
SIT-safe,3185.9665004705485,3221.2896339592958,low
SIT-safe,2838.4450019141573,2848.3560597814485,low
SIT-safe,2644.0759324437477,2671.4779874087058,low
SIT-safe,3045.6559529660544,3082.0205718808666,low
SIT-safe,3692.8615771902796,3875.30933266157,low
SIT-safe,3326.536895486448,3392.0201137164777,low
SIT-safe,2952.461990777604,2985.1934736541098,low
SIT-safe,2556.083416598031,2563.0691617284074,low
SIT-safe,3014.844783778273,3033.624912184736,low
SIT-safe,3877.3243102527213,3955.2639502635798,low
SIT-safe,3101.536459960897,3121.1560699467163,low
SIT-safe,3089.180459722791,3137.569749623049,low
SIT-safe,2593.621729825212,2624.443277823135,low
SIT-safe,2867.1687480628016,2913.7085099730966,low
SIT-safe,3831.1809093417305,3843.690695166102,low
SIT-safe,3147.0773293716484,3173.12117429334,low
SIT-safe,2862.2491949984615,2866.19288058445,low
SIT-safe,2693.6907084293002,2709.0464280317187,low
SIT-safe,2977.8757860165947,2991.1021761457714,low
SIT-safe,3798.662391577291,3863.49194213274,low
SIT-safe,3237.5710094579376,3291.0091431372557,low
SIT-safe,2963.672298506158,2969.0034037606515,low
SIT-safe,2625.7486792000836,2647.878320334956,low
SIT-safe,3022.3442137282323,3041.729172287891,low
SIT-safe,3763.3077060432097,3799.7391380432937,low
SIT-safe,3097.7981496508755,3120.7211765889365,low
SIT-safe,3092.174589570344,3101.6140070805222,low
SIT-safe,2783.2466857019836,2853.2692707141377,low
SIT-safe,2888.8496784481003,2901.4975387575123,low
SIT-safe,3748.5610770850294,3874.3235349832257,low
SIT-safe,3227.861550824356,3239.4004898649146,low
SIT-safe,2859.0826806947994,2880.065493664195,low
SIT-safe,2666.7334823302863,2685.2574608915834,low
SIT-safe,2945.5768160521325,2961.2172507268424,low
SIT-safe,3720.2244820304936,3907.47537109133,low
SIT-safe,3199.8328737364127,3210.8067251882158,low
SIT-safe,2945.929427367842,2989.007472309693,low
SIT-safe,2577.046647574295,2595.8735367964255,low
SIT-safe,3057.665999496347,3064.6650001394346,low
SIT-safe,3869.2166143366712,3989.7804282027546,low
SIT-safe,3196.8964039728394,3230.9441022512883,low
SIT-safe,3058.7625071117145,3077.1731729243725,low
SIT-safe,2718.3865420220823,2770.028186898769,low
SIT-safe,2857.1031872324115,2873.3225120166862,low
SIT-safe,3738.0075333034697,3753.4164787589552,low
SIT-safe,3196.2055624049476,3241.4530097391716,low
SIT-safe,2826.6053328550565,2842.287481250878,low
SIT-safe,2701.9011428174945,2729.1394421977443,low
SIT-safe,2968.140002073422,2988.486574871874,low
SIT-safe,3635.7380741634634,3647.7824753603227,low
SIT-safe,3268.1557201954456,3293.624541484494,low
SIT-safe,2991.1023514459744,3003.7737481239838,low
SIT-safe,2621.5956080182195,2651.810248314658,low
SIT-safe,3099.818179879308,3123.875520380411,low
SIT-safe,3645.9325285017644,3673.4372698090115,low
SIT-safe,3209.5448921052825,3267.6687122295307,low
SIT-safe,3105.3324955697476,3135.8565692674383,low
SIT-safe,2675.0668286483965,2678.006787626525,low
SIT-safe,2880.2125138788483,2914.7944649185683,low
SIT-safe,3948.925809736265,4052.9431204200164,low
SIT-safe,3191.349721513822,3208.3435443985586,low
SIT-safe,2837.5018237266254,2847.5996599942127,low
partition,857.7595587573816,863.2785334008097,low
partition,1068.2757123642282,1083.2143591297036,low
partition,2368.1435995003094,2549.1472879111725,low
partition,1237.3111205587566,1257.613376529645,low
partition,788.6414028852818,806.7932531951619,low
partition,1000.5126440910411,1020.0167208626842,low
partition,1027.1067942976333,1035.9217313539061,low
partition,2267.075817943454,2298.5456211115934,low
partition,1219.1235873332519,1299.764131475426,low
partition,796.7205439135757,812.2606538843486,low
partition,1011.9399757399719,1023.4317963232558,low
partition,1124.5560634392407,1144.867250345812,low
partition,2498.0533876142235,2539.4969831559038,low
partition,1149.719319219501,1166.123901249789,low
partition,788.6799051110494,792.1029288997136,low
partition,936.6411279080799,993.3533532687411,low
partition,1053.8286147522956,1063.346887970053,low
partition,2232.0971208471087,2282.7505085818266,low
partition,1384.7469920619774,1404.281864922875,low
partition,741.9996535543984,770.543306148361,low
partition,942.8874303914939,968.6028773249147,low
partition,1115.4869468895652,1130.5281061287271,low
