episode_bucket,cvar99_std,cvar99_mean,ci_width
0,131020.63318775049,45623.77459813195,57422.32428352351
1,169515.54454659633,50966.214336413024,74293.4630464203
2,108441.8225143218,41551.06508243945,47526.72420221417
3,131743.88614109758,41232.61279145688,57739.30386617138
4,141083.97479787664,45618.802093803555,61832.77820404818
5,58782.55262667859,35453.671457054836,25762.589578585576
6,107903.6715501745,39610.7508472804,47290.869143168056
7,62823.281997374266,37813.117098687726,27533.517306690454
8,64889.62858094239,38529.34612631784,28439.13362617328
9,70743.9242866379,37079.054585933234,31004.891845204053
