policy,mean_backlog_us,max_backlog_us,load_regime
SIT-safe,1976.0781554548846,2337.120268792729,low
SIT-safe,2248.5888772267076,2578.6557233224303,low
SIT-safe,2617.4058299186854,3739.7421122812957,low
SIT-safe,2484.5828760538548,2835.7624668789795,low
SIT-safe,2290.8951030935646,2475.842398691224,low
SIT-safe,2043.7279596976218,2424.4304805753054,low
SIT-safe,2329.7822869467072,2671.448712474783,low
SIT-safe,2562.1425351857897,3296.373312896132,low
SIT-safe,2540.31730202806,2889.408585805795,low
SIT-safe,2397.80868788525,2702.015613588388,low
SIT-safe,1948.1017603130126,2308.9258250144194,low
SIT-safe,2386.4219449222446,2703.5247572074877,low
SIT-safe,2543.733121031306,3245.807703542756,low
SIT-safe,2430.1349025029203,2870.8441995123867,low
SIT-safe,2482.61096138431,2684.2827480753476,low
SIT-safe,1978.1972799599653,2393.501054059714,low
SIT-safe,2251.6024405955422,2508.120435593184,low
SIT-safe,2603.9651735444877,3668.0297272494063,low
SIT-safe,2477.0772021812913,2825.7320875845617,low
SIT-safe,2301.1062427845154,2493.716113792965,low
SIT-safe,2038.328414975239,2492.349127161171,low
SIT-safe,2324.4208992014414,2637.2112815105647,low
SIT-safe,2581.1160149034326,3447.815343343711,low
SIT-safe,2543.780331790437,2936.7116481756675,low
SIT-safe,2400.6596180088595,2626.959734488977,low
SIT-safe,1932.8656176467744,2317.100524263922,low
SIT-safe,2388.177116363991,2732.7468918449013,low
SIT-safe,2566.031209863339,3433.3447036964353,low
SIT-safe,2426.588852880559,2816.2502743505465,low
SIT-safe,2479.9447565628016,2781.4994708593294,low
SIT-safe,1994.9669131326464,2603.3244404108846,low
SIT-safe,2253.090777458072,2513.6741453546565,low
SIT-safe,2603.8870810470053,3428.776740628693,low
SIT-safe,2491.3434209647226,2902.5699597031344,low
SIT-safe,2291.630446078023,2469.054805890133,low
SIT-safe,2051.5693723543773,2442.259561922823,low
SIT-safe,2322.632873237885,2599.4871592341224,low
SIT-safe,2549.0107002622185,3456.7097877104534,low
SIT-safe,2534.5062814884795,2910.8995807833708,low
SIT-safe,2397.9918075742276,2618.9547511439596,low
SIT-safe,1942.8720025279438,2292.6082791779772,low
SIT-safe,2395.3911181288177,2692.758443869272,low
SIT-safe,2545.5295100878675,3360.7475999661547,low
