policy,load_regime,queue_var_mean,queue_var_std
SIT-no-IRBS,high,239491837.7871748,2678578168.828672
SIT-no-IRBS,low,606627143.7563424,17373272773.88244
SIT-no-IRBS,medium,174958877.01345465,2281503539.110485
SIT-no-IRBS,saturation,247133975.0888945,3645799489.868367
SIT-no-admission,high,163950985.3631507,2342149504.8774567
SIT-no-admission,low,28086960.37748269,206710012.79468715
SIT-no-admission,medium,186716083.77077624,2738878505.944716
SIT-no-admission,saturation,231172862.12445024,2605136260.1175942
SIT-no-safety,high,588631576.4870352,10261211743.240387
SIT-no-safety,low,163292791.9402809,3643890182.665807
SIT-no-safety,medium,85816868.56478257,696722064.9778951
SIT-no-safety,saturation,226796391.29367682,3403130223.6358356
SIT-safe,high,112552052.88905065,872441432.245915
SIT-safe,low,69847159.40876026,1361807546.3273044
SIT-safe,medium,265226007.4371332,4082518392.4214473
SIT-safe,saturation,243864463.4841469,2698677948.3145003
admission-only,high,318215212.3652404,6584333409.742959
admission-only,low,609540207.9462942,16960154151.49588
admission-only,medium,135925170.84769082,1876098894.327096
admission-only,saturation,258669014.24138397,3335863383.778088
binpack-greedy,high,423808911.7646864,10089000775.545378
binpack-greedy,low,59312536.245384976,669803113.1896739
binpack-greedy,medium,149498199025.5601,5173475910351.653
binpack-greedy,saturation,9136159246.894928,278411377638.49854
k8s-default,high,144899634.96241814,1412279921.2925842
k8s-default,low,45629800.188076995,379188780.0789154
k8s-default,medium,66027671.30748699,571227734.4155971
k8s-default,saturation,188992869.93697712,1673314213.6933746
k8s-hpa,high,145387159.89310652,1624288546.8418298
k8s-hpa,low,54339047.47859445,760713860.4801298
k8s-hpa,medium,357322185.1693182,5312876262.95693
k8s-hpa,saturation,27070120480.43427,924069369203.4315
oracle,high,3128323556.0332284,100103017882.44861
oracle,low,64015001.507578775,949903130.4824499
oracle,medium,53149365.55229443,312777988.97335184
oracle,saturation,287285461.9226453,3383284202.4458733
partition,high,427749624.5725599,7044621217.481496
partition,low,51498041.629827134,523373560.2287972
partition,medium,58349786.626739055,474492485.4591003
partition,saturation,162310304.62858933,1159506051.3207793
random,high,279126572.38875836,4030602351.341675
random,low,72342460.41294943,1621889996.584787
random,medium,300765645.7187578,6228182478.365385
random,saturation,474421702.2717009,9639196407.661636
round-robin,high,28323779871.717518,975451582690.9294
round-robin,low,580164218.4812382,17765466625.713398
round-robin,medium,68894551.96992211,448589452.35291505
round-robin,saturation,211619561.90908027,2355432570.5217977
similarity-avoidance,high,118327762.8953006,1134079240.8587265
similarity-avoidance,low,44012965.49657093,436875347.54982835
similarity-avoidance,medium,97022093.79480618,779467353.5261701
similarity-avoidance,saturation,308454529.327938,3639125791.4075356
slurm-fcfs,high,330427477.72070986,5266805070.638377
slurm-fcfs,low,89588441.8069416,1027746040.2097834
slurm-fcfs,medium,68272176.458841,587356862.4439441
slurm-fcfs,saturation,748854794.7278526,17775671659.11413
spread,high,118939527.6515284,1224615977.206292
spread,low,148861724.7364899,2980432046.7847567
spread,medium,100065994.27841972,1179068727.8484933
spread,saturation,235932812.4497261,4174661779.7282176
static-high,high,548960251.010936,9130086177.959341
static-high,low,524526758.04113483,14852193392.976002
static-high,medium,173627174.1349738,2478094972.568906
static-high,saturation,554885100.3231063,10731245951.810755
static-low,high,386442343.6158234,4553983126.012514
static-low,low,43698684.38507988,357668464.3977386
static-low,medium,128888511.28245555,2010644994.0603454
static-low,saturation,295653580.43904513,4293859561.664678
tail-greedy,high,219695103.10475448,1938025431.111408
tail-greedy,low,137037876.32891098,2377039057.781042
tail-greedy,medium,294077512.2315005,8097253807.252792
tail-greedy,saturation,304231298.687109,2903706242.021825
triton-proxy,high,109646780.47590181,626046756.1780796
triton-proxy,low,51146552.53508279,426803936.3387108
triton-proxy,medium,130015531.96457952,1878267318.5227003
triton-proxy,saturation,11048446603.461945,365098506598.8549
