policy,collapse_rate,max_violation,mean_violation
SIT-no-IRBS,0.0,0.032,9.84375e-05
SIT-no-admission,0.0,0.016,8.677083333333333e-05
SIT-no-safety,0.0,0.024,9.395833333333333e-05
SIT-safe,0.0,0.032,8.697916666666667e-05
admission-only,0.0,0.016,9.260416666666667e-05
binpack-greedy,0.0,0.032,9.729166666666667e-05
k8s-default,0.0,0.032,7.5e-05
k8s-hpa,0.0,0.032,0.00011260416666666667
oracle,0.0,0.032,9.166666666666667e-05
partition,0.0,0.016,8e-05
random,0.0,0.032,0.00011416666666666667
round-robin,0.0,0.032,0.00010083333333333334
similarity-avoidance,0.0,0.032,9.583333333333334e-05
slurm-fcfs,0.0,0.016,0.00011572916666666666
spread,0.0,0.016,6.166666666666667e-05
static-high,0.0,0.016,0.00011052083333333333
static-low,0.0,0.016,8.416666666666668e-05
tail-greedy,0.0,0.032,0.00012739583333333334
triton-proxy,0.0,0.016,9.09375e-05
