policy,mean_backlog,max_backlog,p99_latency
SIT-no-IRBS,28555.133259547947,54660.51880658168,54505.32621114081
SIT-no-admission,27239.51539988368,55666.01912411037,55529.53844840838
SIT-no-safety,30629.321133237867,60505.12728986274,60461.40583145209
SIT-safe,21588.93299258114,60457.59825465874,59968.748596323705
admission-only,32550.445271762914,62536.718025274466,62691.466172366876
binpack-greedy,53403.583479985355,124331.51004428645,124871.98346124294
k8s-default,29287.760169335008,60457.101325679956,60176.09995615959
k8s-hpa,28002.825901139913,57742.79967808696,57384.72262270425
oracle,24142.85758713928,53638.60196017888,53235.06854526703
partition,16904.643712154382,50095.932316706836,49509.9012988915
random,37328.46149511622,63805.17796675079,63867.29581008906
round-robin,36812.890713293156,68141.4564374908,67643.6001061591
similarity-avoidance,26795.747559855343,59821.70210789648,59517.136137636306
slurm-fcfs,32567.74744910587,66825.2879481073,66307.70123420817
spread,22082.893184085628,55538.04961340433,55125.2444111846
static-high,43341.92789433907,69275.08675072249,69596.50242463774
static-low,20141.850313755873,57890.073657947854,57535.04080145033
tail-greedy,24235.470949827682,57791.160024295576,57369.43346433822
triton-proxy,39203.43418018244,79650.71243962472,79583.03719057735
