interference_regime,load_regime,mean_cvar99,std_cvar99,mean_effective_goodput_rps
adversarial,high,22484.417331714256,20124.976396626975,10485.695789903655
adversarial,low,10797.276846708935,8147.62901287986,10927.776667295773
adversarial,medium,17413.04855372594,13036.887296448014,10554.353006669155
adversarial,saturation,25145.692514255075,15672.931312221994,10517.969924267005
drifting,high,54838.349865198725,28082.382909409203,2919.333193550475
drifting,low,18409.16004595899,9408.060781268137,2956.659591355766
drifting,medium,36652.55473522489,18734.704911628323,2921.437164559382
drifting,saturation,72947.30994209448,37379.283547168045,2921.4823679530896
heavy_tail_burst,high,151734.56783519418,174280.38447090203,8009.526850319801
heavy_tail_burst,low,94008.46731186706,127548.75676265887,8084.74610572736
heavy_tail_burst,medium,162941.09255247342,338153.368141746,7954.8762168472085
heavy_tail_burst,saturation,171850.1572795754,264731.8209177483,8013.403329375477
iid_noise,high,8950.82628135779,872.5147098647228,11598.507944043238
iid_noise,low,3056.9021588425476,345.74077290127315,11944.868169993444
iid_noise,medium,6029.2059149832385,602.6740736138069,11644.789559576231
iid_noise,saturation,11824.548180685819,1099.783843081847,11596.653308433586
partial_obs,high,28413.31380319776,15922.664620729647,5687.445463606357
partial_obs,low,10941.236148986922,6158.2191480359115,5779.148698744343
partial_obs,medium,20207.81292383878,7958.085814169991,5691.059670444977
partial_obs,saturation,34432.78797829926,14876.017925277962,5682.2409661435195
structured,high,8767.568491688338,1504.526778158327,11307.152568291325
structured,low,3001.625344959225,574.2523824786227,11657.879404743559
structured,medium,5910.0382856952665,1043.5758777639378,11349.125823871489
structured,saturation,11590.221315519002,1940.2248019998406,11303.329797252081
