risk_weight,utilization_weight,combined_score
0.0,0.0,0.0
0.0,0.25,0.175
0.0,0.5,0.35
0.0,0.75,0.5249999999999999
0.0,1.0,0.7
0.25,0.0,0.075
0.25,0.25,0.25
0.25,0.5,0.425
0.25,0.75,0.5999999999999999
0.25,1.0,0.7749999999999999
0.5,0.0,0.15
0.5,0.25,0.32499999999999996
0.5,0.5,0.5
0.5,0.75,0.6749999999999999
0.5,1.0,0.85
0.75,0.0,0.22499999999999998
0.75,0.25,0.39999999999999997
0.75,0.5,0.575
0.75,0.75,0.7499999999999999
0.75,1.0,0.9249999999999999
1.0,0.0,0.3
1.0,0.25,0.475
1.0,0.5,0.6499999999999999
1.0,0.75,0.825
1.0,1.0,1.0
