policy,mean_decision_time,mean_cvar99,mean_effective_goodput_rps
SIT-no-IRBS,44.33507720629374,46194.47950085126,6388.6167032379835
SIT-no-admission,15.006115039189657,42404.23089395024,8386.824262408556
SIT-no-safety,14.90771770477295,46651.39476673803,8305.347801149603
SIT-safe,106.99192682902019,41347.84090175189,8396.227565957013
admission-only,30.94121813774109,48384.43458382047,5299.389793491505
binpack-greedy,51.70350273450216,84331.44161857534,4083.272377471064
k8s-default,88.50187063217163,40766.77770595401,7572.767034161937
k8s-hpa,52.97571420669556,55896.098690531726,7628.267991555694
oracle,13.416111469268799,44317.47323154395,8356.239704343343
partition,2.787907918294271,36312.843837424436,5952.232167275574
random,30.212004979451496,49037.22110169813,5309.796090158182
round-robin,9.448081254959106,58443.33732236182,5211.678157051258
similarity-avoidance,73.0113685131073,43025.705964093075,7071.783485090666
slurm-fcfs,9.377251068751017,49361.78011795661,5270.126609309799
spread,10.766883691151937,38179.337835251674,5428.390921756273
static-high,9.50440764427185,59010.78083621076,5965.979107344797
static-low,48.24921488761902,39975.11632852152,6609.611503709015
tail-greedy,14.790147542953491,43790.89570881216,8344.515847484116
triton-proxy,15.468696753184,57183.90308202457,4070.430345104491
