policy,total_decision_time,mean_decision_time,max_decision_time,n_episodes
SIT-no-IRBS,215254.0683746338,44.844597578048706,154.4952392578125,4800
SIT-no-admission,70105.07583618164,14.605224132537842,42.67692565917969,4800
SIT-no-safety,71962.11814880371,14.99210794766744,44.345855712890625,4800
SIT-safe,501472.94998168945,104.4735312461853,297.78480529785156,4800
admission-only,149164.19982910156,31.07587496439616,143.28956604003906,4800
binpack-greedy,243445.39642333984,50.71779092152914,189.5427703857422,4800
k8s-default,410922.7657318115,85.60890952746074,287.05596923828125,4800
k8s-hpa,247890.47241210938,51.64384841918945,180.24444580078125,4800
oracle,64821.24328613281,13.504425684611002,44.10743713378906,4800
partition,12965.679168701172,2.7011831601460776,31.709671020507812,4800
random,144017.21954345703,30.003587404886883,104.18891906738281,4800
round-robin,43486.833572387695,9.059756994247437,40.0543212890625,4800
similarity-avoidance,348398.20861816406,72.58296012878418,218.86825561523438,4800
slurm-fcfs,43413.400650024414,9.044458468755087,42.20008850097656,4800
spread,54508.68606567383,11.355976263682047,46.96846008300781,4800
static-high,47970.53337097168,9.993861118952433,43.392181396484375,4800
static-low,229338.4075164795,47.77883489926656,277.7576446533203,4800
tail-greedy,69922.44720458984,14.567176500956217,115.87142944335938,4800
triton-proxy,70286.98921203613,14.643122752507528,94.41375732421875,4800
