policy,mean_cvar99,mean_goodput,mean_p99,catastrophe_rate,mean_decision_time,n_episodes
SIT-no-IRBS,44816.37076684176,0.9998948958333334,44816.37076684176,0.0,44.844597578048706,4800
SIT-no-admission,39715.75426679265,0.9998689583333333,39715.75426679265,0.0,14.605224132537842,4800
SIT-no-safety,38638.909861628075,0.9999125,38638.909861628075,0.0,14.99210794766744,4800
SIT-safe,34665.282967877894,0.9999073958333334,34665.282967877894,0.0,104.4735312461853,4800
admission-only,40052.25044721476,0.9998996875,40052.25044721476,0.0,31.07587496439616,4800
binpack-greedy,47069.40736145791,0.9999061458333334,47069.40736145791,0.0,50.71779092152914,4800
k8s-default,36395.68476564078,0.9999066666666666,36395.68476564078,0.0,85.60890952746074,4800
k8s-hpa,39103.50569159832,0.99991375,39103.50569159832,0.0,51.64384841918945,4800
oracle,33522.69475489362,0.9999266666666667,33522.69475489362,0.0,13.504425684611002,4800
partition,32810.51956720471,0.9998661458333333,32810.51956720471,0.0,2.7011831601460776,4800
random,40129.056313498426,0.9998883333333333,40129.056313498426,0.0,30.003587404886883,4800
round-robin,41231.14850582215,0.9998922916666667,41231.14850582215,0.0,9.059756994247437,4800
similarity-avoidance,36311.16621866907,0.9999101041666667,36311.16621866907,0.0,72.58296012878418,4800
slurm-fcfs,40980.61636115101,0.9998957291666667,40980.61636115101,0.0,9.044458468755087,4800
spread,39364.12296203438,0.9998975,39364.12296203438,0.0,11.355976263682047,4800
static-high,56202.954554634205,0.9999033333333334,56202.954554634205,0.0,9.993861118952433,4800
static-low,32363.711509389643,0.9999317708333333,32363.711509389643,0.0,47.77883489926656,4800
tail-greedy,34533.95495397388,0.9999054166666668,34533.95495397388,0.0,14.567176500956217,4800
triton-proxy,45835.1968320904,0.9998935416666666,45835.1968320904,0.0,14.643122752507528,4800
