policy,cvar99_norm,goodput_norm,safety_norm,efficiency_norm,tail_norm
SIT-safe,34665.282967877894,0.9999073958333334,1.0,0.009481051674148507,2.8846473125676886e-05
SIT-no-IRBS,44816.37076684177,0.9998948958333334,1.0,0.021812820982833093,2.2312777007879546e-05
SIT-no-safety,38638.909861628075,0.9999125,1.0,0.06253084354310258,2.5879977556393436e-05
SIT-no-admission,39715.754266792654,0.9998689583333333,1.0,0.06408110460361406,2.5178291088003238e-05
partition,32810.51956720471,0.9998661458333333,1.0,0.2701838727593617,3.047710112760231e-05
spread,39364.12296203438,0.9998975,1.0,0.0809324960375088,2.5403197672326547e-05
random,40129.05631349843,0.9998883333333333,1.0,0.03225433195651342,2.491897823885268e-05
round-robin,41231.14850582215,0.9998922916666667,1.0,0.09940597974402754,2.4252920020861775e-05
binpack-greedy,47069.40736145791,0.9999061458333334,1.0,0.019335705995588433,2.1244770463125796e-05
tail-greedy,34533.95495397389,0.9999054166666668,1.0,0.06423772480119146,2.895616923006675e-05
similarity-avoidance,36311.16621866907,0.9999101041666667,1.0,0.013590102902218255,2.753897946980296e-05
admission-only,40052.250447214756,0.9998996875,1.0,0.031176078629499213,2.4966762717994053e-05
oracle,33522.69475489362,0.9999266666666667,1.0,0.06894447403463802,2.982964757648096e-05
static-low,32363.711509389643,0.9999317708333334,1.0,0.02050069465712138,3.0897849953332047e-05
static-high,56202.954554634205,0.9999033333333334,1.0,0.0909598537929581,1.779234233470048e-05
k8s-hpa,39103.50569159833,0.99991375,1.0,0.018995571752985396,2.557250072118548e-05
k8s-default,36395.68476564078,0.9999066666666666,1.0,0.011546156226374539,2.7475029839641348e-05
slurm-fcfs,40980.61636115101,0.9998957291666667,1.0,0.09955738311932513,2.440118494076679e-05
triton-proxy,45835.1968320904,0.9998935416666666,1.0,0.0639258552030287,2.1816818783269767e-05
