policy,cvar99_mean_us,p99_mean_us,effective_goodput_rps,success_rate,catastrophe_count,cvar_improvement_vs_sit_pct,goodput_improvement_vs_sit_pct,sit_pareto_dominates
SIT-safe,41347.84,33521.59,8396.23,0.9999,0,0.0,0.0,False
SIT-no-IRBS,46194.48,37422.09,6388.62,0.9999,0,10.49,31.42,True
SIT-no-safety,46651.39,39433.25,8305.35,0.9999,0,11.37,1.09,True
SIT-no-admission,42404.23,35414.65,8386.82,0.9999,0,2.49,0.11,True
partition,36312.84,30359.63,5952.23,0.9999,0,-13.87,41.06,False
spread,38179.34,31408.48,5428.39,0.9999,0,-8.3,54.67,False
random,49037.22,40997.37,5309.8,0.9999,0,15.68,58.13,True
round-robin,58443.34,50888.87,5211.68,0.9999,0,29.25,61.1,True
binpack-greedy,84331.44,51510.96,4083.27,0.9999,0,50.97,105.62,True
tail-greedy,43790.9,36056.57,8344.52,0.9999,0,5.58,0.62,True
similarity-avoidance,43025.71,36103.99,7071.78,0.9999,0,3.9,18.73,True
admission-only,48384.43,39814.04,5299.39,0.9999,0,14.54,58.44,True
oracle,44317.47,38335.18,8356.24,0.9999,0,6.7,0.48,True
static-low,39975.12,33076.29,6609.61,0.9999,0,-3.43,27.03,True
static-high,59010.78,50044.25,5965.98,0.9999,0,29.93,40.74,True
k8s-hpa,55896.1,47353.08,7628.27,0.9999,0,26.03,10.07,True
k8s-default,40766.78,34965.04,7572.77,0.9999,0,-1.43,10.87,True
slurm-fcfs,49361.78,42991.45,5270.13,0.9999,0,16.24,59.32,True
triton-proxy,57183.9,50626.67,4070.43,0.9999,0,27.69,106.27,True
