policy,load_regime,cvar99_us,effective_goodput_rps,n_episodes,is_sit,is_partition,is_oracle
SIT-safe,high,47854.04,8021.02,1200,True,False,False
SIT-safe,saturation,60576.04,8023.68,1200,True,False,False
SIT-no-IRBS,high,52702.73,6338.82,1200,False,False,False
SIT-no-IRBS,saturation,55024.64,6352.02,1200,False,False,False
SIT-no-safety,high,54555.68,8270.28,1200,False,False,False
SIT-no-safety,saturation,61028.3,8277.56,1200,False,False,False
SIT-no-admission,high,54132.25,8318.01,1200,False,False,False
SIT-no-admission,saturation,56045.96,8346.88,1200,False,False,False
partition,high,39749.01,5781.53,1200,False,True,False
partition,saturation,50027.54,5747.72,1200,False,True,False
spread,high,45890.77,5281.94,1200,False,False,False
spread,saturation,55641.76,5323.33,1200,False,False,False
random,high,60826.86,5290.77,1200,False,False,False
random,saturation,64544.61,5351.06,1200,False,False,False
round-robin,high,64745.94,5452.95,1200,False,False,False
round-robin,saturation,68595.52,5476.54,1200,False,False,False
binpack-greedy,high,81133.99,4073.52,1200,False,False,False
binpack-greedy,saturation,125387.86,4089.75,1200,False,False,False
tail-greedy,high,59300.45,8234.63,1200,False,False,False
tail-greedy,saturation,57991.34,8297.94,1200,False,False,False
similarity-avoidance,high,53902.8,7054.39,1200,False,False,False
similarity-avoidance,saturation,60110.22,7027.48,1200,False,False,False
admission-only,high,53150.78,5250.28,1200,False,False,False
admission-only,saturation,63167.82,5268.19,1200,False,False,False
oracle,high,43164.27,8333.88,1200,False,False,True
oracle,saturation,53907.79,8319.65,1200,False,False,True
static-low,high,52922.16,6512.94,1200,False,False,False
static-low,saturation,58038.47,6492.57,1200,False,False,False
static-high,high,89109.36,5957.51,1200,False,False,False
static-high,saturation,70093.74,5982.73,1200,False,False,False
k8s-hpa,high,54568.24,7570.46,1200,False,False,False
k8s-hpa,saturation,58035.93,7601.0,1200,False,False,False
k8s-default,high,55997.18,7535.43,1200,False,False,False
k8s-default,saturation,60842.07,7542.42,1200,False,False,False
slurm-fcfs,high,56002.72,5249.27,1200,False,False,False
slurm-fcfs,saturation,67073.96,5253.65,1200,False,False,False
triton-proxy,high,68891.67,4056.05,1200,False,False,False
triton-proxy,saturation,80229.19,4060.71,1200,False,False,False
