policy,load_regime,catastrophe_rate,n_episodes
SIT-safe,low,0.0,1200
SIT-safe,medium,0.0,1200
SIT-safe,high,0.0,1200
SIT-safe,saturation,0.0,1200
SIT-no-IRBS,low,0.0,1200
SIT-no-IRBS,medium,0.0,1200
SIT-no-IRBS,high,0.0,1200
SIT-no-IRBS,saturation,0.0,1200
SIT-no-safety,low,0.0,1200
SIT-no-safety,medium,0.0,1200
SIT-no-safety,high,0.0,1200
SIT-no-safety,saturation,0.0,1200
SIT-no-admission,low,0.0,1200
SIT-no-admission,medium,0.0,1200
SIT-no-admission,high,0.0,1200
SIT-no-admission,saturation,0.0,1200
partition,low,0.0,1200
partition,medium,0.0,1200
partition,high,0.0,1200
partition,saturation,0.0,1200
spread,low,0.0,1200
spread,medium,0.0,1200
spread,high,0.0,1200
spread,saturation,0.0,1200
random,low,0.0,1200
random,medium,0.0,1200
random,high,0.0,1200
random,saturation,0.0,1200
round-robin,low,0.0,1200
round-robin,medium,0.0,1200
round-robin,high,0.0,1200
round-robin,saturation,0.0,1200
binpack-greedy,low,0.0,1200
binpack-greedy,medium,0.0,1200
binpack-greedy,high,0.0,1200
binpack-greedy,saturation,0.0,1200
tail-greedy,low,0.0,1200
tail-greedy,medium,0.0,1200
tail-greedy,high,0.0,1200
tail-greedy,saturation,0.0,1200
similarity-avoidance,low,0.0,1200
similarity-avoidance,medium,0.0,1200
similarity-avoidance,high,0.0,1200
similarity-avoidance,saturation,0.0,1200
admission-only,low,0.0,1200
admission-only,medium,0.0,1200
admission-only,high,0.0,1200
admission-only,saturation,0.0,1200
oracle,low,0.0,1200
oracle,medium,0.0,1200
oracle,high,0.0,1200
oracle,saturation,0.0,1200
static-low,low,0.0,1200
static-low,medium,0.0,1200
static-low,high,0.0,1200
static-low,saturation,0.0,1200
static-high,low,0.0,1200
static-high,medium,0.0,1200
static-high,high,0.0,1200
static-high,saturation,0.0,1200
k8s-hpa,low,0.0,1200
k8s-hpa,medium,0.0,1200
k8s-hpa,high,0.0,1200
k8s-hpa,saturation,0.0,1200
k8s-default,low,0.0,1200
k8s-default,medium,0.0,1200
k8s-default,high,0.0,1200
k8s-default,saturation,0.0,1200
slurm-fcfs,low,0.0,1200
slurm-fcfs,medium,0.0,1200
slurm-fcfs,high,0.0,1200
slurm-fcfs,saturation,0.0,1200
triton-proxy,low,0.0,1200
triton-proxy,medium,0.0,1200
triton-proxy,high,0.0,1200
triton-proxy,saturation,0.0,1200
