trial,recall_at_k,ndcg_at_k,relative_l2
0,1.0,0.9998,0.0459
1,1.0,0.9999,0.0337
2,1.0,0.9992,0.0452
3,1.0,1.0,0.0248
4,1.0,0.9997,0.0374
5,1.0,0.9963,0.0373
6,1.0,0.9989,0.0228
7,1.0,0.9996,0.0349
8,1.0,0.9998,0.0354
9,1.0,0.9999,0.0336
10,1.0,0.9979,0.0451
11,1.0,0.9998,0.0224
12,1.0,0.9997,0.0314
13,1.0,0.9997,0.0284
14,1.0,0.9998,0.0322
15,1.0,0.9999,0.0311
16,1.0,0.9999,0.0308
17,1.0,0.9998,0.0332
18,1.0,0.9995,0.0491
19,1.0,0.999,0.0419
20,1.0,0.9992,0.0332
21,1.0,0.9973,0.0426
22,1.0,0.9996,0.0332
23,1.0,0.9997,0.0365
24,1.0,0.9996,0.0383
25,1.0,0.9998,0.0277
26,1.0,0.9985,0.0368
27,1.0,0.9996,0.0361
28,1.0,0.9998,0.0289
29,1.0,0.9997,0.045
