spectator_id,x_true_us,x_hat_us,ci_lo_us,ci_hi_us,is_toxic,covered
spec_0,119.3241,120.5762,109.7363,134.5114,True,True
spec_1,157.7185,161.1834,146.7004,170.6296,True,True
spec_2,187.2077,177.4301,163.9937,185.4016,True,False
spec_3,65.2084,69.5776,57.9604,82.3135,True,True
spec_4,89.0832,87.9177,76.789,97.9731,True,True
spec_5,138.5099,129.3272,119.6365,137.9239,True,False
spec_6,123.7922,125.2382,113.2255,134.8203,True,True
spec_7,79.6679,70.466,61.0495,80.939,True,True
spec_8,147.5572,143.7246,130.9853,152.2582,True,True
spec_9,105.1018,119.1715,109.5626,132.1112,True,False
spec_10,131.7254,135.3335,122.6496,146.5373,True,True
spec_11,164.0894,171.1074,157.332,178.228,True,True
spec_12,70.638,67.1501,60.6724,75.9381,True,True
spec_13,169.2982,162.5288,148.3427,171.0731,True,True
spec_14,190.2081,191.5345,176.4373,201.1572,True,True
spec_15,186.7299,181.6735,169.2708,191.0302,True,True
spec_16,150.2989,142.8116,127.7272,152.7104,True,True
spec_17,186.4453,175.6226,163.2665,184.2143,True,False
spec_18,206.263,199.8562,189.2602,207.492,True,True
spec_19,96.6009,99.3099,88.8141,107.2324,True,True
