interference_regime,load_regime,compared_to,sit_cvar99,baseline_cvar99,cvar_improvement_pct,sit_effective_goodput_rps,baseline_effective_goodput_rps,goodput_improvement_pct,sit_catastrophes,baseline_catastrophes,fewer_catastrophes,sit_dominates
adversarial,high,SIT-no-IRBS,22484.42,25591.31,12.14,10485.7,7899.65,32.74,0,0,True,True
adversarial,high,SIT-no-safety,22484.42,26954.15,16.58,10485.7,9789.22,7.11,0,0,True,True
adversarial,high,SIT-no-admission,22484.42,25155.83,10.62,10485.7,10157.09,3.24,0,0,True,True
adversarial,high,partition,22484.42,18437.13,-21.95,10485.7,8088.37,29.64,0,0,True,False
adversarial,high,spread,22484.42,22899.9,1.81,10485.7,6944.8,50.99,0,0,True,True
adversarial,high,random,22484.42,32114.81,29.99,10485.7,5896.65,77.82,0,0,True,True
adversarial,high,round-robin,22484.42,34214.4,34.28,10485.7,5318.64,97.15,0,0,True,True
adversarial,high,binpack-greedy,22484.42,34945.64,35.66,10485.7,4339.54,141.63,0,0,True,True
adversarial,high,tail-greedy,22484.42,24525.27,8.32,10485.7,10430.31,0.53,0,0,True,True
adversarial,high,similarity-avoidance,22484.42,29966.77,24.97,10485.7,8235.76,27.32,0,0,True,True
adversarial,high,admission-only,22484.42,33301.41,32.48,10485.7,5875.74,78.46,0,0,True,True
adversarial,high,oracle,22484.42,25781.5,12.79,10485.7,10413.93,0.69,0,0,True,True
adversarial,high,static-low,22484.42,20433.05,-10.04,10485.7,8029.72,30.59,0,0,True,False
adversarial,high,static-high,22484.42,40749.62,44.82,10485.7,6618.45,58.43,0,0,True,True
adversarial,high,k8s-hpa,22484.42,28138.21,20.09,10485.7,8669.22,20.95,0,0,True,True
adversarial,high,k8s-default,22484.42,25687.26,12.47,10485.7,8767.56,19.6,0,0,True,True
adversarial,high,slurm-fcfs,22484.42,32233.54,30.25,10485.7,5784.08,81.29,0,0,True,True
adversarial,high,triton-proxy,22484.42,40642.75,44.68,10485.7,4375.1,139.67,0,0,True,True
adversarial,low,SIT-no-IRBS,10797.28,13427.7,19.59,10927.78,7938.36,37.66,0,0,True,True
adversarial,low,SIT-no-safety,10797.28,13602.58,20.62,10927.78,9925.02,10.1,0,0,True,True
adversarial,low,SIT-no-admission,10797.28,12344.43,12.53,10927.78,10372.89,5.35,0,0,True,True
adversarial,low,partition,10797.28,10146.44,-6.41,10927.78,8942.26,22.2,0,0,True,False
adversarial,low,spread,10797.28,11506.83,6.17,10927.78,7002.6,56.05,0,0,True,True
adversarial,low,random,10797.28,14874.84,27.41,10927.78,5962.4,83.28,0,0,True,True
adversarial,low,round-robin,10797.28,14707.62,26.59,10927.78,5400.78,102.34,0,0,True,True
adversarial,low,binpack-greedy,10797.28,16571.54,34.84,10927.78,4366.09,150.29,0,0,True,True
adversarial,low,tail-greedy,10797.28,10800.17,0.03,10927.78,10751.15,1.64,0,0,True,True
adversarial,low,similarity-avoidance,10797.28,12561.41,14.04,10927.78,8459.52,29.18,0,0,True,True
adversarial,low,admission-only,10797.28,14224.95,24.1,10927.78,6178.19,76.88,0,0,True,True
adversarial,low,oracle,10797.28,11821.47,8.66,10927.78,10715.64,1.98,0,0,True,True
adversarial,low,static-low,10797.28,11365.18,5.0,10927.78,8397.36,30.13,0,0,True,True
adversarial,low,static-high,10797.28,17710.21,39.03,10927.78,6671.44,63.8,0,0,True,True
adversarial,low,k8s-hpa,10797.28,13724.41,21.33,10927.78,8826.03,23.81,0,0,True,True
adversarial,low,k8s-default,10797.28,12262.7,11.95,10927.78,8995.49,21.48,0,0,True,True
adversarial,low,slurm-fcfs,10797.28,14903.86,27.55,10927.78,5866.28,86.28,0,0,True,True
adversarial,low,triton-proxy,10797.28,17878.68,39.61,10927.78,4417.14,147.39,0,0,True,True
adversarial,medium,SIT-no-IRBS,17413.05,20817.1,16.35,10554.35,7749.31,36.2,0,0,True,True
adversarial,medium,SIT-no-safety,17413.05,21009.79,17.12,10554.35,9805.34,7.64,0,0,True,True
adversarial,medium,SIT-no-admission,17413.05,19779.95,11.97,10554.35,10198.92,3.48,0,0,True,True
adversarial,medium,partition,17413.05,13772.2,-26.44,10554.35,8250.59,27.92,0,0,True,False
adversarial,medium,spread,17413.05,16433.64,-5.96,10554.35,7156.8,47.47,0,0,True,False
