metric,policy,baseline,interference_regime,load_regime,mean_diff,ci_lo,ci_hi,p_value,cohens_d,n,q_value,significant
cvar99_us,SIT-safe,partition,adversarial,high,5226.8746,1906.5521,9010.5388,0.001,0.2065,200,0.007714,True
cvar99_us,SIT-no-IRBS,partition,adversarial,high,10031.7168,6971.2195,13890.1146,0.001,0.3979,200,0.006646,True
cvar99_us,SIT-no-safety,partition,adversarial,high,12288.845,9393.1734,15628.9877,0.001,0.5779,200,0.008471,True
cvar99_us,SIT-no-admission,partition,adversarial,high,8666.2472,6075.9494,11235.1109,0.001,0.4755,200,0.008429,True
cvar99_us,spread,partition,adversarial,high,4571.9132,2062.8663,7131.4953,0.001,0.2444,200,0.008388,True
cvar99_us,random,partition,adversarial,high,17645.9614,13149.2895,23009.9284,0.001,0.5031,200,0.008348,True
cvar99_us,round-robin,partition,adversarial,high,19773.6337,16026.2788,23741.4448,0.001,0.7231,200,0.008308,True
cvar99_us,binpack-greedy,partition,adversarial,high,20767.0401,17790.9332,23900.9286,0.001,0.9886,200,0.008268,True
cvar99_us,tail-greedy,partition,adversarial,high,4514.1713,2093.7247,6991.9275,0.001,0.2536,200,0.008229,True
cvar99_us,similarity-avoidance,partition,adversarial,high,9505.0125,6953.7568,12031.518,0.001,0.5262,200,0.00819,True
cvar99_us,admission-only,partition,adversarial,high,14511.1093,11714.5983,17214.3034,0.001,0.7328,200,0.008772,True
cvar99_us,oracle,partition,adversarial,high,3817.8165,1358.0343,6192.4961,0.001,0.2196,200,0.008727,True
cvar99_us,static-low,partition,adversarial,high,3845.8553,1048.1769,6674.0828,0.002,0.1908,200,0.004807,True
cvar99_us,static-high,partition,adversarial,high,23839.3288,20930.7852,26622.3276,0.001,1.1512,200,0.008683,True
cvar99_us,k8s-hpa,partition,adversarial,high,10974.8471,8036.481,13959.8335,0.001,0.5122,200,0.009191,True
cvar99_us,k8s-default,partition,adversarial,high,10256.1302,6824.26,14243.631,0.001,0.4119,200,0.008597,True
cvar99_us,slurm-fcfs,partition,adversarial,high,15774.1864,12933.2083,18332.3197,0.001,0.7948,200,0.008554,True
cvar99_us,triton-proxy,partition,adversarial,high,24524.5543,20999.3735,28268.652,0.001,0.9155,200,0.008512,True
cvar99_us,SIT-safe,partition,adversarial,low,1596.7962,1146.5059,2058.4457,0.001,0.4831,200,0.003248,True
cvar99_us,SIT-no-IRBS,partition,adversarial,low,2967.5187,2531.6178,3413.4186,0.001,0.9409,200,0.003692,True
cvar99_us,SIT-no-safety,partition,adversarial,low,3898.463,3441.9934,4389.7554,0.001,1.1254,200,0.003684,True
cvar99_us,SIT-no-admission,partition,adversarial,low,2875.4916,2398.8101,3298.8373,0.001,0.899,200,0.003677,True
cvar99_us,spread,partition,adversarial,low,1823.7199,1351.0713,2303.8015,0.001,0.49,200,0.003669,True
cvar99_us,random,partition,adversarial,low,5365.4397,4704.0445,6060.8285,0.001,1.0886,200,0.003661,True
cvar99_us,round-robin,partition,adversarial,low,6079.5439,5323.8259,6763.8735,0.001,1.1855,200,0.003653,True
cvar99_us,binpack-greedy,partition,adversarial,low,6645.0609,6160.6247,7121.7206,0.001,1.8745,200,0.003646,True
cvar99_us,tail-greedy,partition,adversarial,low,2209.1975,1736.8032,2742.3868,0.001,0.5968,200,0.003429,True
cvar99_us,similarity-avoidance,partition,adversarial,low,3289.5355,2769.714,3812.4397,0.001,0.8274,200,0.003422,True
cvar99_us,admission-only,partition,adversarial,low,5080.0308,4489.8823,5671.9587,0.001,1.1995,200,0.003415,True
cvar99_us,oracle,partition,adversarial,low,2312.9774,1770.4719,2838.8407,0.001,0.6144,200,0.003408,True
cvar99_us,static-low,partition,adversarial,low,950.9965,453.4019,1385.9442,0.001,0.2917,200,0.003402,True
cvar99_us,static-high,partition,adversarial,low,7788.1248,7217.6041,8311.8944,0.001,2.0429,200,0.003395,True
cvar99_us,k8s-hpa,partition,adversarial,low,3612.4014,3075.7116,4128.4011,0.001,0.9258,200,0.007261,True
cvar99_us,k8s-default,partition,adversarial,low,2824.5702,2346.5034,3348.8023,0.001,0.7843,200,0.003176,True
cvar99_us,slurm-fcfs,partition,adversarial,low,5529.7135,4847.8777,6288.4914,0.001,1.071,200,0.003171,True
cvar99_us,triton-proxy,partition,adversarial,low,7642.7873,6854.3676,8485.1653,0.001,1.3321,200,0.003165,True
cvar99_us,SIT-safe,partition,adversarial,medium,3521.5015,2665.2581,4428.0606,0.001,0.5467,200,0.003159,True
cvar99_us,SIT-no-IRBS,partition,adversarial,medium,6541.9373,5731.204,7384.4757,0.001,1.0749,200,0.003153,True
cvar99_us,SIT-no-safety,partition,adversarial,medium,7912.8179,7096.7588,8650.3556,0.001,1.3583,200,0.003148,True
cvar99_us,SIT-no-admission,partition,adversarial,medium,6039.0194,5166.5963,6894.0105,0.001,1.0369,200,0.003142,True
cvar99_us,spread,partition,adversarial,medium,3055.1315,2209.616,3879.1341,0.001,0.4992,200,0.00323,True
cvar99_us,random,partition,adversarial,medium,10725.8037,9661.7163,11831.6538,0.001,1.4011,200,0.003224,True
cvar99_us,round-robin,partition,adversarial,medium,12700.2148,11432.9286,13977.0787,0.001,1.4277,200,0.003218,True
cvar99_us,binpack-greedy,partition,adversarial,medium,13586.615,12672.3603,14649.9934,0.001,1.9552,200,0.003212,True
