policy,interference_regime,load_regime,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_std,p95_latency_us_mean,p95_latency_us_median,p95_latency_us_std,p99_latency_us_mean,p99_latency_us_median,p99_latency_us_std,p999_latency_us_mean,p999_latency_us_median,p999_latency_us_std,cvar95_us_mean,cvar95_us_median,cvar95_us_std,cvar99_us_mean,cvar99_us_median,cvar99_us_std,cvar999_us_mean,cvar999_us_median,cvar999_us_std,violation_rate_mean,violation_rate_median,violation_rate_std,goodput_mean,goodput_median,goodput_std,throughput_inv_us_mean,throughput_inv_us_median,throughput_inv_us_std,queue_variance_mean,queue_variance_median,queue_variance_std,mean_backlog_us_mean,mean_backlog_us_median,mean_backlog_us_std,max_backlog_us_mean,max_backlog_us_median,max_backlog_us_std,decision_time_us_mean,decision_time_us_median,decision_time_us_std,catastrophe_sum,catastrophe_mean,n_episodes
SIT-no-IRBS,adversarial,high,12550.639460007313,12559.794218969106,1903.945897533821,14407.378472249804,14474.773298186781,2228.56717883133,26049.912870345084,22178.64227517075,20749.178732165296,26894.6058639356,22970.379091270966,21113.998070988822,18934.681745172897,17610.209834019326,6120.347949443253,26049.912870345084,22178.64227517075,20749.178732165296,26931.738378070484,23000.1275758446,21113.233258799355,0.0,0.0,0.0,1.0,1.0,0.0,8.152482569050279e-05,7.961914053697103e-05,1.2502625122973696e-05,8828712.91495323,2658861.550779001,58533733.40781779,12023.436097888485,12032.282310959496,1824.1495464613795,26431.511074673002,22484.20264075123,21103.30837803685,43.75815391540527,41.484832763671875,7.9439901481930235,0,0.0,200
SIT-no-IRBS,adversarial,low,4080.050955665635,4008.4730254698416,655.7879633764871,4263.262577180922,4172.913919756045,670.2986030897837,7650.2076780426805,7197.818206769496,2378.13361951548,17990.67066060177,14282.75418185015,13244.587260719383,6638.674073874643,6367.637506864208,1788.5756970027546,7650.2076780426805,7197.818206769496,2378.13361951548,18061.518124955102,14321.116344538668,13258.278921572126,0.0,0.0,0.0,1.0,1.0,0.0,0.00025142553368994006,0.00024947419181826425,4.0455511333441244e-05,1669793.8493164438,619417.5796748123,4023417.6269510617,3556.6730086119537,3493.891128294643,573.6839816803435,17548.88354512932,13860.713093612125,13266.29184233801,44.44241523742676,41.72325134277344,10.952062251746378,0,0.0,200
SIT-no-IRBS,adversarial,medium,8275.248804188568,8136.087794575509,1269.5857355229748,9200.875969891164,9185.70607495902,1470.429076022982,14544.497862007262,13639.667145915417,4574.280851825245,21441.98988154043,18364.265608004825,11503.281964186455,12893.801824162052,12225.986819600235,3082.0618051401348,14544.497862007262,13639.667145915417,4574.280851825245,21494.730129559426,18437.161310720425,11519.036748715587,0.0,0.0,0.0,1.0,1.0,0.0,0.0001235961912722765,0.00012290957118660906,1.839405265033918e-05,3194320.5044704676,1516770.5144880721,5808855.277320162,7752.975601687042,7622.549735727975,1189.929555817475,20996.487860848327,17921.970215155423,11509.812546148309,48.30479621887207,45.06111145019531,9.938357600585764,0,0.0,200
SIT-no-IRBS,adversarial,saturation,16831.538959621364,16299.386539557912,2885.1554819235153,19571.99625904876,19046.29641765027,3494.8878259186904,30279.21488392061,27423.363810586474,13482.864090014304,30822.14707491929,28224.750626674257,13631.342832449116,24522.137985557245,23461.194254398277,6790.914614678734,30279.21488392061,27423.363810586474,13482.864090014304,30937.55452641797,28314.286809118614,13633.940301039902,0.0,0.0,0.0,1.0,1.0,0.0,6.109895970294666e-05,6.135200255298096e-05,1.0179922842822462e-05,8868980.714970948,4436755.335675558,14756653.05894482,16300.972602063108,15785.779820364616,2794.29346520624,30431.755307110903,27825.30874593435,13611.479154003848,45.8371639251709,43.392181396484375,8.078204380013212,0,0.0,200
SIT-no-IRBS,drifting,high,58052.76048427497,57271.84911560292,27780.11752934787,58917.120195034615,58055.54493384698,28077.23231158508,59137.30460188281,58217.85509073203,28126.947971222588,59331.37146345663,58341.89091965447,28167.570555442147,59051.53462921207,58153.14657249734,28107.051777351207,59137.30460188281,58217.85509073203,28126.947971222588,59374.12475119592,58359.793420246104,28177.657962409492,0.0,0.0,0.0,1.0,1.0,0.0,2.4666491570129278e-05,1.7460645085376303e-05,1.8888454462693792e-05,15687203.838035194,12397829.98237505,12495992.246206764,55618.65426064838,54870.54131860992,26615.92197583961,56945.143327417194,55972.41442976263,27012.17465144771,40.944814682006836,39.577484130859375,5.589698496601053,0,0.0,200
SIT-no-IRBS,drifting,low,19462.960965188642,19318.820140962132,9350.172828786774,19812.990079773037,19627.84449174222,9444.203689794129,19950.85470898438,19743.921947444684,9471.80074364418,20102.05920422578,19831.06136785823,9509.418144668785,19898.90959236492,19703.214007020913,9462.484316906703,19950.85470898438,19743.921947444684,9471.80074364418,20143.148197232786,19863.463007035047,9520.141751205625,0.0,0.0,0.0,1.0,1.0,0.0,7.44464770581627e-05,5.176303042498447e-05,5.982002423931303e-05,544122.2251941584,432229.1386367788,425107.96902344207,17013.3330867103,16887.286744190038,8179.358921487247,17678.703406052213,17384.99454065005,8338.722579553598,46.07796669006348,42.438507080078125,11.025169111689928,0,0.0,200
SIT-no-IRBS,drifting,medium,39155.33425542198,39174.38142057853,18687.006093822594,39742.4037655643,39692.895784516506,18865.20716708174,39926.7163018741,39897.634222527355,18907.066620369314,40100.12963309901,40063.64426146634,18943.698349441533,39855.49626761682,39811.84745205614,18890.831928356234,39926.7163018741,39897.634222527355,18907.066620369314,40148.31897848734,40109.24476317303,18958.35341239522,0.0,0.0,0.0,1.0,1.0,0.0,3.6996063571725984e-05,2.5527046197219124e-05,2.9738970940398417e-05,4631102.718158148,3759974.1833505314,3642689.6381022222,36695.79470514657,36713.64292742656,17514.672812595505,37683.948497750214,37632.3601177283,17781.686046912415,51.409006118774414,45.06111145019531,17.219841598238865,0,0.0,200
SIT-no-IRBS,drifting,saturation,77706.43224210362,77300.27392897716,36776.57765558236,78929.76155037162,78412.21545635727,37214.3976470904,79183.94468317085,78609.71349519343,37270.5101937044,79378.07668267093,78792.68327481899,37305.521568453914,79082.03533240203,78531.7752080847,37247.41064741841,79183.94468317085,78609.71349519343,37270.5101937044,79421.79331201166,78838.72046764847,37313.06739069092,0.0,0.0,0.0,1.0,1.0,0.0,1.85744286437227e-05,1.2936795469185503e-05,1.5112538063824109e-05,37847828.0790797,30757653.29583796,29732634.477068484,75258.66070649531,74865.13282490603,35618.33210861903,76980.51016160392,76392.67096211045,36156.70891128113,47.36661911010742,42.91534423828125,16.348074413365996,0,0.0,200
SIT-no-IRBS,heavy_tail_burst,high,17122.77720804679,14911.697050468596,25727.41480816287,29275.694743495333,27567.643910245155,8870.466769947194,281217.20290501905,81437.06328495895,2129000.1362687973,285136.6824652684,85963.19225925396,2128727.3065671334,103248.91060207725,54102.45377287519,514067.5070221409,281217.20290501905,81437.06328495895,2129000.1362687973,285408.03626707924,86647.54782679735,2128706.175662406,0.00043999999999999996,0.0,0.0022251192729591984,0.99956,1.0,0.002225119272959205,6.72997737313669e-05,6.706146116879076e-05,1.318402144981082e-05,52164893686.57272,111042325.05484375,730560393248.5574,16404.340261304893,14285.349733138877,24655.444237262654,284817.30540592736,86129.93533597019,2128719.13934261,49.010515213012695,42.438507080078125,15.593805304221657,0,0.0,200
SIT-no-IRBS,heavy_tail_burst,low,5407.185032102604,4919.892675898534,1998.5031884249584,7209.734418871888,6689.308226367427,2301.227408880132,37743.96066746518,32706.4327970788,20048.885285252865,203822.94699404456,88729.38521217133,430524.6199340367,35149.861260181904,25574.35404068129,36794.919193973954,37743.96066746518,32706.4327970788,20048.885285252865,204609.32543717223,90464.83650786981,430779.7218198696,0.00032,0.0,0.001087895945364123,0.99968,1.0,0.0010878959453641398,0.00019866577806282825,0.00020325849361730453,4.3062908570278246e-05,811725881.4999182,43851425.19605125,4434805033.864764,4717.848174653676,4291.561328554724,1748.607035755001,204099.39698149767,89985.19640534493,430780.2370496028,41.441917419433594,38.504600524902344,10.122294181664293,0,0.0,200
