metric_name,value,stage,gate
probe_status,completed,probe,
probe_n_artifacts,6,probe,
tomography_status,completed,tomography,
tomography_n_artifacts,9,tomography,
scheduling_status,completed,scheduling,
scheduling_n_artifacts,6,scheduling,
load_status,completed,load,
load_n_artifacts,6,load,
stats_status,completed,stats,
stats_n_artifacts,9,stats,
stats_R1,PASS,stats,R1
failure_status,completed,failure,
failure_n_artifacts,8,failure,
failure_F1,True,failure,F1
failure_F1_detection_rate,1.0,failure,F1
failure_F2,True,failure,F2
failure_F2_worst_cvar_change,1.9776,failure,F2
failure_F3,True,failure,F3
failure_F3_n_silent,0,failure,F3
hardware_status,skipped,hardware,
hardware_n_artifacts,0,hardware,
stages_completed,6/7,summary,
total_artifacts,44,summary,
gates_passed,3/4,summary,
